'707', NULL, 'B701', 'B703', 'JT3C', NULL, 'B707-120/JT3C', 'INM 6.1 aircraft.dbf'
'707120', NULL, 'B701', 'B703', 'JT3D-3B', '1PW001', 'B707-120B/JT3D-3', 'INM 6.1 aircraft.dbf'
'707320', NULL, 'B703', 'B703', 'JT3D-7 SERIES', '1PW002', 'B707-320B/JT3D-7', 'INM 6.1 aircraft.dbf'
'7073SH', '707QN', 'B703', 'B703', 'C w/Shannon H/K', NULL, '707-300 ADV/C w/Shannon H/K', 'INM 6.1 acft_sub.dbf'
'707C56', 'DC870', 'B703', 'B703', 'CFM56-5B', NULL, '707 w/CFM56', 'INM 6.1 acft_sub.dbf'
'707QN', NULL, 'B703', 'B703', 'JT3D-7 SERIES', '1PW002', 'B707-320B/JT3D-7QN', 'INM 6.1 aircraft.dbf'
'717', '717200', 'B712', 'B712', NULL, NULL, 'BOEING 717-200 (MD-95) 114000 LBS', 'INM 6.1 acft_sub.dbf'
'717200', NULL, 'B712', 'B712', 'BR715', NULL, '717-200 / BR 715', 'INM 6.1 aircraft.dbf'
'717ER', '717200', 'B712', 'B712', NULL, NULL, 'BOEING 717-200 (MD-95) 121000 LBS', 'INM 6.1 acft_sub.dbf'
'720', NULL, 'B720', 'B703', 'JT3C', NULL, 'B720/JT3C', 'INM 6.1 aircraft.dbf'
'720B', NULL, 'B720', 'B703', 'JT3D-3', NULL, 'B720B/JT3D-3', 'INM 6.1 aircraft.dbf'
'720TJ', 'DC820', 'B720', 'B703', NULL, NULL, 'B720 Turbojet', 'INM 6.1 acft_sub.dbf'
'727100', NULL, 'B721', 'B722', 'JT8D-7', NULL, 'B727-100/JT8D-7', 'INM 6.1 aircraft.dbf'
'727200', NULL, 'B722', 'B722', 'JT8D-7', NULL, 'B727-200/JT8D-7', 'INM 6.1 aircraft.dbf'
'727D15', NULL, 'B722', 'B722', 'JT8D-15', '1PW009', 'B727-200/JT8D-15', 'INM 6.1 aircraft.dbf'
'727D17', NULL, 'B722', 'B722', 'JT8D-17', '1PW012', 'B727-200/JT8D-17', 'INM 6.1 aircraft.dbf'
'727EM1', NULL, 'B721', 'B722', 'JT8D-7', NULL, 'FEDX 727-100/JT8D-7', 'INM 6.1 aircraft.dbf'
'727EM2', NULL, 'B722', 'B722', 'JT8D-15', '1PW009', 'FEDX 727-200/JT8D-15', 'INM 6.1 aircraft.dbf'
'727Q15', NULL, 'B722', 'B722', 'JT8D-15QN', NULL, 'B727-200/JT8D-15QN', 'INM 6.1 aircraft.dbf'
'727Q7', NULL, 'B721', 'B722', 'JT8D-7QN', NULL, 'B727-100/JT8D-7QN', 'INM 6.1 aircraft.dbf'
'727Q9', NULL, 'B722', 'B722', 'JT8D-9', NULL, 'B727-200/JT8D-9', 'INM 6.1 aircraft.dbf'
'727QF', NULL, 'B721', 'B722', NULL, NULL, 'UPS 727100 22C 25C', 'INM 6.1 aircraft.dbf'
'727RR1', '727EM1', 'B721', 'B722', 'TAY650', NULL, '727-100 with RR TAY 650 eng.', 'INM 6.1 acft_sub.dbf'
'727RR2', '727EM2', 'B722', 'B722', 'TAY650', NULL, '727-200 with RR TAY 650 eng.', 'INM 6.1 acft_sub.dbf'
'737', NULL, 'B732', 'B732', 'JT8D-9', NULL, 'B737/JT8D-9', 'INM 6.1 aircraft.dbf'
'73717A', '737QN', 'B731', 'B732', 'JT8D-7A', NULL, '737-100 w/JT8D-7A', 'INM 6.1 acft_sub.dbf'
'737215', '737D17', 'B732', 'B732', 'JT15QN', NULL, '737-200 ADV w/JT15QN', 'INM 6.1 acft_sub.dbf'
'737222', '737QN', 'B732', 'B732', 'JT8D-9A', NULL, 'Boeing 737-222', 'INM 6.1 acft_sub.dbf'
'737300', NULL, 'B733', 'B733', 'CFM56-3-B1', '1CM004', 'B737-300/CFM56-3B-1', 'INM 6.1 aircraft.dbf'
'7373B2', NULL, 'B733', 'B733', 'CFM56-3B-2', '1CM005', 'B737-300/CFM56-3B-2', 'INM 6.1 aircraft.dbf'
'737400', NULL, 'B734', 'B734', 'CFM56-3C-1', '1CM007', 'B737-400/CFM56-3C-1', 'INM 6.1 aircraft.dbf'
'737500', NULL, 'B735', 'B735', 'CFM56-3-B1', '1CM004', 'B737-500/CFM56-3B-1', 'INM 6.1 aircraft.dbf'
'737700', NULL, 'B737', 'B737', 'CFM56-7B', NULL, 'Boeing 737-700/CFM56-7B', 'INM 6.1 aircraft.dbf'
'737800', NULL, 'B738', 'B738', 'CFM56-7B26', '8CM051', '737-800 / CFM56-7B26', 'INM 6.1 aircraft.dbf'
