1, 'PKW', 'PC', 2004, 'L2', 'LandsideHauptstraﬂealsZubringer', 'Landside main road feeder', 34, 'IO_LSA1', 'g/km', 0.004, 1.17, 0.084, 0.237, 0.006
2, 'PKW', 'PC', 2004, 'L3', 'LandsideVorfahrtenbereich', 'Landside give-way area', 20, 'IO_Kern', 'g/km', 0.007, 1.796, 0.132, 0.275, 0.007
3, 'PKW', 'PC', 2004, 'L4', 'LandsideZufahrtzumParking', 'Landside parking access', 20, 'IO_Kern', 'g/km', 0.007, 1.796, 0.132, 0.275, 0.007
4, 'PKW', 'PC', 2004, 'L5', 'LandsideImParkhaus/Parking', 'Landside parking', 5, 'IO_Stop+Go', 'g/km', 0.021, 5.241, 0.383, 0.368, 0.019
5, 'LKW', 'HDV', 2004, 'A1', 'AirsideVorfelder', 'Airside movement area', 5, 'IO_Stop+Go', 'g/km', 0.116, 4.955, 6.108, 13.259, 0.865
6, 'LKW', 'HDV', 2004, 'A2', 'AirsideTerminalbereich', 'Airside terminal area', 20, 'IO_Kern', 'g/km', 0.041, 1.857, 2.138, 5.704, 0.324
7, 'LKW', 'HDV', 2004, 'A3', 'AirsideUmfahrung', 'Airside by-pass', 42, 'IO_HVS2', 'g/km', 0.019, 0.99, 1.013, 3.395, 0.168
8, 'LKW', 'HDV', 2004, 'L1', 'LandsideAutobahnalsZubringer', 'Landside motorway feeder', 87, 'AB_80_gebunden', 'g/km', 0.01, 0.772, 0.531, 3.28, 0.124
9, 'LKW', 'HDV', 2004, 'L2', 'LandsideHauptstraﬂealsZubringer', 'Landside main road feeder', 34, 'IO_LSA1', 'g/km', 0.022, 1.07, 1.134, 3.739, 0.185
10, 'LKW', 'HDV', 2004, 'L3', 'LandsideVorfahrtenbereich', 'Landside give-way area', 20, 'IO_Kern', 'g/km', 0.041, 1.857, 2.138, 5.704, 0.324
11, 'LKW', 'HDV', 2004, 'L4', 'LandsideZufahrtzumParking', 'Landside parking access', 20, 'IO_Kern', 'g/km', 0.041, 1.857, 2.138, 5.704, 0.324
12, 'LKW', 'HDV', 2004, 'L5', 'LandsideImParkhaus/Parking', 'Landside parking', 5, 'IO_Stop+Go', 'g/km', 0.116, 4.955, 6.108, 13.259, 0.865
13, 'LNF', 'LDV', 2004, 'A1', 'AirsideVorfelder', 'Airside movement area', 5, 'IO_Stop+Go', 'g/km', 0.013, 2.841, 0.365, 1.174, 0.183
14, 'LNF', 'LDV', 2004, 'A2', 'AirsideTerminalbereich', 'Airside terminal area', 20, 'IO_Kern', 'g/km', 0.004, 0.831, 0.138, 0.839, 0.067
15, 'LNF', 'LDV', 2004, 'A3', 'AirsideUmfahrung', 'Airside by-pass', 42, 'IO_HVS2', 'g/km', 0.002, 0.509, 0.08, 0.609, 0.054
16, 'LNF', 'LDV', 2004, 'L1', 'LandsideAutobahnalsZubringer', 'Landside motorway feeder', 87, 'AB_80_gebunden', 'g/km', 0.001, 0.369, 0.046, 0.609, 0.048
17, 'LNF', 'LDV', 2004, 'L2', 'LandsideHauptstraﬂealsZubringer', 'Landside main road feeder', 34, 'IO_LSA1', 'g/km', 0.002, 0.568, 0.09, 0.646, 0.053
18, 'LNF', 'LDV', 2004, 'L3', 'LandsideVorfahrtenbereich', 'Landside give-way area', 20, 'IO_Kern', 'g/km', 0.004, 0.831, 0.138, 0.839, 0.067
19, 'LNF', 'LDV', 2004, 'L4', 'LandsideZufahrtzumParking', 'Landside parking access', 20, 'IO_Kern', 'g/km', 0.004, 0.831, 0.138, 0.839, 0.067
20, 'LNF', 'LDV', 2004, 'L5', 'LandsideImParkhaus/Parking', 'Landside parking', 5, 'IO_Stop+Go', 'g/km', 0.013, 2.841, 0.365, 1.174, 0.183
21, 'PKW', 'PC', 2005, 'A1', 'AirsideVorfelder', 'Airside movement area', 5, 'IO_Stop+Go', 'g/km', 0.018, 4.716, 0.324, 0.338, 0.017
22, 'PKW', 'PC', 2005, 'A2', 'AirsideTerminalbereich', 'Airside terminal area', 20, 'IO_Kern', 'g/km', 0.006, 1.652, 0.112, 0.247, 0.006
23, 'PKW', 'PC', 2005, 'A3', 'AirsideUmfahrung', 'Airside by-pass', 42, 'IO_HVS2', 'g/km', 0.003, 0.938, 0.062, 0.205, 0.006
24, 'PKW', 'PC', 2005, 'L1', 'LandsideAutobahnalsZubringer', 'Landside motorway feeder', 87, 'AB_80_gebunden', 'g/km', 0.002, 0.464, 0.029, 0.156, 0.004
25, 'PKW', 'PC', 2005, 'L2', 'LandsideHauptstraﬂealsZubringer', 'Landside main road feeder', 34, 'IO_LSA1', 'g/km', 0.004, 1.073, 0.071, 0.212, 0.006
26, 'PKW', 'PC', 2005, 'L3', 'LandsideVorfahrtenbereich', 'Landside give-way area', 20, 'IO_Kern', 'g/km', 0.006, 1.652, 0.112, 0.247, 0.006
27, 'PKW', 'PC', 2005, 'L4', 'LandsideZufahrtzumParking', 'Landside parking access', 20, 'IO_Kern', 'g/km', 0.006, 1.652, 0.112, 0.247, 0.006
28, 'PKW', 'PC', 2005, 'L5', 'LandsideImParkhaus/Parking', 'Landside parking', 5, 'IO_Stop+Go', 'g/km', 0.018, 4.716, 0.324, 0.338, 0.017
29, 'LKW', 'HDV', 2005, 'A1', 'AirsideVorfelder', 'Airside movement area', 5, 'IO_Stop+Go', 'g/km', 0.109, 4.438, 5.741, 12.272, 0.736
30, 'LKW', 'HDV', 2005, 'A2', 'AirsideTerminalbereich', 'Airside terminal area', 20, 'IO_Kern', 'g/km', 0.038, 1.664, 2.01, 5.28, 0.276
31, 'LKW', 'HDV', 2005, 'A3', 'AirsideUmfahrung', 'Airside by-pass', 42, 'IO_HVS2', 'g/km', 0.018, 0.887, 0.952, 3.144, 0.143
32, 'LKW', 'HDV', 2005, 'L1', 'LandsideAutobahnalsZubringer', 'Landside motorway feeder', 87, 'AB_80_gebunden', 'g/km', 0.009, 0.692, 0.499, 3.039, 0.106
33, 'LKW', 'HDV', 2005, 'L2', 'LandsideHauptstraﬂealsZubringer', 'Landside main road feeder', 34, 'IO_LSA1', 'g/km', 0.02, 0.959, 1.066, 3.462, 0.157
34, 'LKW', 'HDV', 2005, 'L3', 'LandsideVorfahrtenbereich', 'Landside give-way area', 20, 'IO_Kern', 'g/km', 0.038, 1.664, 2.01, 5.28, 0.276
35, 'LKW', 'HDV', 2005, 'L4', 'LandsideZufahrtzumParking', 'Landside parking access', 20, 'IO_Kern', 'g/km', 0.038, 1.664, 2.01, 5.28, 0.276
36, 'LKW', 'HDV', 2005, 'L5', 'LandsideImParkhaus/Parking', 'Landside parking', 5, 'IO_Stop+Go', 'g/km', 0.109, 4.438, 5.741, 12.272, 0.736
37, 'LNF', 'LDV', 2005, 'A1', 'AirsideVorfelder', 'Airside movement area', 5, 'IO_Stop+Go', 'g/km', 0.011, 2.542, 0.315, 1.102, 0.154
