stage,source_module,timestamp,dispersion_module,count,source_modules,dispersion modules
beginJob(),ParkingSource,0.013104,,,,
beginJob(),,21.69868,AUSTAL2000,,,
process(),,0.080991,,1.0,ParkingSource,AUSTAL2000
process(),,0.038999,,2.0,ParkingSource,AUSTAL2000
process(),,0.033,,3.0,ParkingSource,AUSTAL2000
process(),,0.035002,,4.0,ParkingSource,AUSTAL2000
process(),,0.031998,,5.0,ParkingSource,AUSTAL2000
process(),,0.031,,6.0,ParkingSource,AUSTAL2000
process(),,0.031001,,7.0,ParkingSource,AUSTAL2000
process(),,0.030005,,8.0,ParkingSource,AUSTAL2000
process(),,0.029997,,9.0,ParkingSource,AUSTAL2000
process(),,0.031023,,10.0,ParkingSource,AUSTAL2000
process(),,0.033979,,11.0,ParkingSource,AUSTAL2000
process(),,0.028998,,12.0,ParkingSource,AUSTAL2000
process(),,0.029002,,13.0,ParkingSource,AUSTAL2000
process(),,0.030998,,14.0,ParkingSource,AUSTAL2000
process(),,0.029999,,15.0,ParkingSource,AUSTAL2000
process(),,0.03201,,16.0,ParkingSource,AUSTAL2000
process(),,0.032039,,17.0,ParkingSource,AUSTAL2000
process(),,0.033002,,18.0,ParkingSource,AUSTAL2000
process(),,0.028998,,19.0,ParkingSource,AUSTAL2000
process(),,0.031008,,20.0,ParkingSource,AUSTAL2000
process(),,0.030994,,21.0,ParkingSource,AUSTAL2000
process(),,0.029999,,22.0,ParkingSource,AUSTAL2000
process(),,0.029004,,23.0,ParkingSource,AUSTAL2000
process(),,0.031001,,24.0,ParkingSource,AUSTAL2000
process(),,0.029995,,25.0,ParkingSource,AUSTAL2000
process(),,0.029999,,26.0,ParkingSource,AUSTAL2000
process(),,0.030001,,27.0,ParkingSource,AUSTAL2000
process(),,0.029999,,28.0,ParkingSource,AUSTAL2000
process(),,0.028,,29.0,ParkingSource,AUSTAL2000
process(),,0.029006,,30.0,ParkingSource,AUSTAL2000
process(),,0.027994,,31.0,ParkingSource,AUSTAL2000
process(),,0.038001,,32.0,ParkingSource,AUSTAL2000
process(),,0.044009,,33.0,ParkingSource,AUSTAL2000
process(),,0.035999,,34.0,ParkingSource,AUSTAL2000
process(),,0.03,,35.0,ParkingSource,AUSTAL2000
process(),,0.029001,,36.0,ParkingSource,AUSTAL2000
process(),,0.031025,,37.0,ParkingSource,AUSTAL2000
process(),,0.029,,38.0,ParkingSource,AUSTAL2000
process(),,0.029003,,39.0,ParkingSource,AUSTAL2000
process(),,0.029997,,40.0,ParkingSource,AUSTAL2000
process(),,0.030005,,41.0,ParkingSource,AUSTAL2000
