stage,source_module,timestamp,dispersion_module,count,source_modules,dispersion modules
beginJob(),PointSource,0.0,,,,
beginJob(),,4.047623,AUSTAL2000,,,
process(),,0.031286,,1.0,PointSource,AUSTAL2000
process(),,0.015647,,2.0,PointSource,AUSTAL2000
process(),,0.015569,,3.0,PointSource,AUSTAL2000
process(),,0.015676,,4.0,PointSource,AUSTAL2000
process(),,0.0,,5.0,PointSource,AUSTAL2000
process(),,0.015611,,6.0,PointSource,AUSTAL2000
process(),,0.015587,,7.0,PointSource,AUSTAL2000
process(),,0.015625,,8.0,PointSource,AUSTAL2000
process(),,0.015625,,9.0,PointSource,AUSTAL2000
process(),,0.015679,,10.0,PointSource,AUSTAL2000
process(),,0.015571,,11.0,PointSource,AUSTAL2000
process(),,0.0,,12.0,PointSource,AUSTAL2000
process(),,0.015658,,13.0,PointSource,AUSTAL2000
process(),,0.015628,,14.0,PointSource,AUSTAL2000
process(),,0.01559,,15.0,PointSource,AUSTAL2000
process(),,0.015663,,16.0,PointSource,AUSTAL2000
process(),,0.015586,,17.0,PointSource,AUSTAL2000
process(),,0.015659,,18.0,PointSource,AUSTAL2000
process(),,0.015649,,19.0,PointSource,AUSTAL2000
process(),,0.0,,20.0,PointSource,AUSTAL2000
process(),,0.015569,,21.0,PointSource,AUSTAL2000
process(),,0.046907,,22.0,PointSource,AUSTAL2000
process(),,0.015626,,23.0,PointSource,AUSTAL2000
process(),,0.01559,,24.0,PointSource,AUSTAL2000
process(),,0.015627,,25.0,PointSource,AUSTAL2000
process(),,0.015623,,26.0,PointSource,AUSTAL2000
process(),,0.015625,,27.0,PointSource,AUSTAL2000
process(),,0.015654,,28.0,PointSource,AUSTAL2000
process(),,0.0,,29.0,PointSource,AUSTAL2000
process(),,0.015597,,30.0,PointSource,AUSTAL2000
process(),,0.015623,,31.0,PointSource,AUSTAL2000
process(),,0.015625,,32.0,PointSource,AUSTAL2000
process(),,0.015626,,33.0,PointSource,AUSTAL2000
process(),,0.015626,,34.0,PointSource,AUSTAL2000
process(),,0.015626,,35.0,PointSource,AUSTAL2000
process(),,0.015623,,36.0,PointSource,AUSTAL2000
process(),,0.015624,,37.0,PointSource,AUSTAL2000
process(),,0.0,,38.0,PointSource,AUSTAL2000
process(),,0.015627,,39.0,PointSource,AUSTAL2000
process(),,0.015626,,40.0,PointSource,AUSTAL2000
process(),,0.015625,,41.0,PointSource,AUSTAL2000
process(),,0.015623,,42.0,PointSource,AUSTAL2000
process(),,0.015624,,43.0,PointSource,AUSTAL2000
process(),,0.015626,,44.0,PointSource,AUSTAL2000
process(),,0.0,,45.0,PointSource,AUSTAL2000
process(),,0.015624,,46.0,PointSource,AUSTAL2000
process(),,0.015627,,47.0,PointSource,AUSTAL2000
process(),,0.015624,,48.0,PointSource,AUSTAL2000
process(),,0.015622,,49.0,PointSource,AUSTAL2000
process(),,0.015627,,50.0,PointSource,AUSTAL2000
process(),,0.015625,,51.0,PointSource,AUSTAL2000
process(),,0.0,,52.0,PointSource,AUSTAL2000
process(),,0.015625,,53.0,PointSource,AUSTAL2000
process(),,0.015626,,54.0,PointSource,AUSTAL2000
process(),,0.015624,,55.0,PointSource,AUSTAL2000
process(),,0.015627,,56.0,PointSource,AUSTAL2000
process(),,0.015624,,57.0,PointSource,AUSTAL2000
process(),,0.015625,,58.0,PointSource,AUSTAL2000
process(),,0.0,,59.0,PointSource,AUSTAL2000
process(),,0.015627,,60.0,PointSource,AUSTAL2000
process(),,0.015625,,61.0,PointSource,AUSTAL2000
process(),,0.015622,,62.0,PointSource,AUSTAL2000
process(),,0.031254,,63.0,PointSource,AUSTAL2000
process(),,0.0,,64.0,PointSource,AUSTAL2000
process(),,0.015625,,65.0,PointSource,AUSTAL2000
process(),,0.015623,,66.0,PointSource,AUSTAL2000
process(),,0.015623,,67.0,PointSource,AUSTAL2000
process(),,0.01563,,68.0,PointSource,AUSTAL2000
process(),,0.015621,,69.0,PointSource,AUSTAL2000
process(),,0.015624,,70.0,PointSource,AUSTAL2000
process(),,0.015627,,71.0,PointSource,AUSTAL2000
process(),,0.015622,,72.0,PointSource,AUSTAL2000
process(),,0.015627,,73.0,PointSource,AUSTAL2000
process(),,0.0,,74.0,PointSource,AUSTAL2000
process(),,0.015625,,75.0,PointSource,AUSTAL2000
process(),,0.015625,,76.0,PointSource,AUSTAL2000
process(),,0.015625,,77.0,PointSource,AUSTAL2000
process(),,0.015626,,78.0,PointSource,AUSTAL2000
process(),,0.015623,,79.0,PointSource,AUSTAL2000
process(),,0.0,,80.0,PointSource,AUSTAL2000
process(),,0.015627,,81.0,PointSource,AUSTAL2000
process(),,0.015626,,82.0,PointSource,AUSTAL2000
process(),,0.015621,,83.0,PointSource,AUSTAL2000
process(),,0.01563,,84.0,PointSource,AUSTAL2000
process(),,0.015623,,85.0,PointSource,AUSTAL2000
process(),,0.015625,,86.0,PointSource,AUSTAL2000
process(),,0.015626,,87.0,PointSource,AUSTAL2000
process(),,0.0,,88.0,PointSource,AUSTAL2000
process(),,0.015623,,89.0,PointSource,AUSTAL2000
process(),,0.015622,,90.0,PointSource,AUSTAL2000
process(),,0.015627,,91.0,PointSource,AUSTAL2000
process(),,0.015626,,92.0,PointSource,AUSTAL2000
process(),,0.015625,,93.0,PointSource,AUSTAL2000
process(),,0.016965,,94.0,PointSource,AUSTAL2000
process(),,0.0,,95.0,PointSource,AUSTAL2000
process(),,0.015635,,96.0,PointSource,AUSTAL2000
process(),,0.015625,,97.0,PointSource,AUSTAL2000
process(),,0.015624,,98.0,PointSource,AUSTAL2000
process(),,0.015661,,99.0,PointSource,AUSTAL2000
process(),,0.019296,,100.0,PointSource,AUSTAL2000
process(),,0.015636,,101.0,PointSource,AUSTAL2000
process(),,0.015678,,102.0,PointSource,AUSTAL2000
process(),,0.0,,103.0,PointSource,AUSTAL2000
process(),,0.015572,,104.0,PointSource,AUSTAL2000
