stage,source_module,timestamp,dispersion_module,count,source_modules,dispersion modules
beginJob(),PointSource,0.015627,,,,
beginJob(),,5.309662,AUSTAL2000,,,
process(),,0.031248,,1.0,PointSource,AUSTAL2000
process(),,0.015625,,2.0,PointSource,AUSTAL2000
process(),,0.015633,,3.0,PointSource,AUSTAL2000
process(),,0.015618,,4.0,PointSource,AUSTAL2000
process(),,0.015625,,5.0,PointSource,AUSTAL2000
process(),,0.015622,,6.0,PointSource,AUSTAL2000
process(),,0.0,,7.0,PointSource,AUSTAL2000
process(),,0.015627,,8.0,PointSource,AUSTAL2000
process(),,0.015626,,9.0,PointSource,AUSTAL2000
process(),,0.01563,,10.0,PointSource,AUSTAL2000
process(),,0.015619,,11.0,PointSource,AUSTAL2000
process(),,0.015632,,12.0,PointSource,AUSTAL2000
process(),,0.015622,,13.0,PointSource,AUSTAL2000
process(),,0.015622,,14.0,PointSource,AUSTAL2000
process(),,0.015625,,15.0,PointSource,AUSTAL2000
process(),,0.015624,,16.0,PointSource,AUSTAL2000
process(),,0.015626,,17.0,PointSource,AUSTAL2000
process(),,0.015625,,18.0,PointSource,AUSTAL2000
process(),,0.015625,,19.0,PointSource,AUSTAL2000
process(),,0.015629,,20.0,PointSource,AUSTAL2000
process(),,0.01562,,21.0,PointSource,AUSTAL2000
process(),,0.015634,,22.0,PointSource,AUSTAL2000
process(),,0.015617,,23.0,PointSource,AUSTAL2000
process(),,0.015631,,24.0,PointSource,AUSTAL2000
process(),,0.015619,,25.0,PointSource,AUSTAL2000
process(),,0.015624,,26.0,PointSource,AUSTAL2000
process(),,0.01563,,27.0,PointSource,AUSTAL2000
process(),,0.015626,,28.0,PointSource,AUSTAL2000
process(),,0.015619,,29.0,PointSource,AUSTAL2000
process(),,0.01563,,30.0,PointSource,AUSTAL2000
process(),,0.015621,,31.0,PointSource,AUSTAL2000
process(),,0.015624,,32.0,PointSource,AUSTAL2000
process(),,0.015624,,33.0,PointSource,AUSTAL2000
process(),,0.0,,34.0,PointSource,AUSTAL2000
process(),,0.015627,,35.0,PointSource,AUSTAL2000
process(),,0.015625,,36.0,PointSource,AUSTAL2000
process(),,0.015627,,37.0,PointSource,AUSTAL2000
process(),,0.015622,,38.0,PointSource,AUSTAL2000
process(),,0.0,,39.0,PointSource,AUSTAL2000
process(),,0.015627,,40.0,PointSource,AUSTAL2000
process(),,0.015624,,41.0,PointSource,AUSTAL2000
process(),,0.015625,,42.0,PointSource,AUSTAL2000
process(),,0.015625,,43.0,PointSource,AUSTAL2000
process(),,0.015624,,44.0,PointSource,AUSTAL2000
process(),,0.015629,,45.0,PointSource,AUSTAL2000
process(),,0.015626,,46.0,PointSource,AUSTAL2000
process(),,0.015621,,47.0,PointSource,AUSTAL2000
process(),,0.015624,,48.0,PointSource,AUSTAL2000
process(),,0.0,,49.0,PointSource,AUSTAL2000
process(),,0.015627,,50.0,PointSource,AUSTAL2000
process(),,0.015625,,51.0,PointSource,AUSTAL2000
process(),,0.015625,,52.0,PointSource,AUSTAL2000
process(),,0.015626,,53.0,PointSource,AUSTAL2000
process(),,0.015622,,54.0,PointSource,AUSTAL2000
process(),,0.015625,,55.0,PointSource,AUSTAL2000
process(),,0.015632,,56.0,PointSource,AUSTAL2000
process(),,0.015618,,57.0,PointSource,AUSTAL2000
process(),,0.0,,58.0,PointSource,AUSTAL2000
process(),,0.015626,,59.0,PointSource,AUSTAL2000
process(),,0.015623,,60.0,PointSource,AUSTAL2000
process(),,0.015627,,61.0,PointSource,AUSTAL2000
process(),,0.015625,,62.0,PointSource,AUSTAL2000
process(),,0.015625,,63.0,PointSource,AUSTAL2000
process(),,0.015629,,64.0,PointSource,AUSTAL2000
process(),,0.015623,,65.0,PointSource,AUSTAL2000
process(),,0.01562,,66.0,PointSource,AUSTAL2000
process(),,0.015629,,67.0,PointSource,AUSTAL2000
process(),,0.015624,,68.0,PointSource,AUSTAL2000
process(),,0.015631,,69.0,PointSource,AUSTAL2000
process(),,0.015618,,70.0,PointSource,AUSTAL2000
process(),,0.015627,,71.0,PointSource,AUSTAL2000
process(),,0.015695,,72.0,PointSource,AUSTAL2000
process(),,0.0,,73.0,PointSource,AUSTAL2000
process(),,0.015554,,74.0,PointSource,AUSTAL2000
