stage,source_module,timestamp,dispersion_module,count,source_modules,dispersion modules
beginJob(),PointSource,0.0,,,,
beginJob(),,5.309174,AUSTAL2000,,,
process(),,0.031285,,1.0,PointSource,AUSTAL2000
process(),,0.015622,,2.0,PointSource,AUSTAL2000
process(),,0.01559,,3.0,PointSource,AUSTAL2000
process(),,0.046927,,4.0,PointSource,AUSTAL2000
process(),,0.015627,,5.0,PointSource,AUSTAL2000
process(),,0.0,,6.0,PointSource,AUSTAL2000
process(),,0.031405,,7.0,PointSource,AUSTAL2000
process(),,0.0,,8.0,PointSource,AUSTAL2000
process(),,0.015625,,9.0,PointSource,AUSTAL2000
process(),,0.015626,,10.0,PointSource,AUSTAL2000
process(),,0.015625,,11.0,PointSource,AUSTAL2000
process(),,0.015621,,12.0,PointSource,AUSTAL2000
process(),,0.015679,,13.0,PointSource,AUSTAL2000
process(),,0.015568,,14.0,PointSource,AUSTAL2000
process(),,0.015628,,15.0,PointSource,AUSTAL2000
process(),,0.015622,,16.0,PointSource,AUSTAL2000
process(),,0.0,,17.0,PointSource,AUSTAL2000
process(),,0.015625,,18.0,PointSource,AUSTAL2000
process(),,0.015665,,19.0,PointSource,AUSTAL2000
process(),,0.046836,,20.0,PointSource,AUSTAL2000
process(),,0.015623,,21.0,PointSource,AUSTAL2000
process(),,0.015683,,22.0,PointSource,AUSTAL2000
process(),,0.015569,,23.0,PointSource,AUSTAL2000
process(),,0.01563,,24.0,PointSource,AUSTAL2000
process(),,0.015655,,25.0,PointSource,AUSTAL2000
process(),,0.0,,26.0,PointSource,AUSTAL2000
process(),,0.015627,,27.0,PointSource,AUSTAL2000
process(),,0.015624,,28.0,PointSource,AUSTAL2000
process(),,0.031249,,29.0,PointSource,AUSTAL2000
process(),,0.015595,,30.0,PointSource,AUSTAL2000
process(),,0.015619,,31.0,PointSource,AUSTAL2000
process(),,0.015687,,32.0,PointSource,AUSTAL2000
process(),,0.015563,,33.0,PointSource,AUSTAL2000
process(),,0.015627,,34.0,PointSource,AUSTAL2000
process(),,0.015678,,35.0,PointSource,AUSTAL2000
process(),,0.0,,36.0,PointSource,AUSTAL2000
process(),,0.015576,,37.0,PointSource,AUSTAL2000
process(),,0.015661,,38.0,PointSource,AUSTAL2000
process(),,0.015618,,39.0,PointSource,AUSTAL2000
process(),,0.015591,,40.0,PointSource,AUSTAL2000
process(),,0.015663,,41.0,PointSource,AUSTAL2000
process(),,0.015585,,42.0,PointSource,AUSTAL2000
process(),,0.015666,,43.0,PointSource,AUSTAL2000
process(),,0.015642,,44.0,PointSource,AUSTAL2000
process(),,0.0,,45.0,PointSource,AUSTAL2000
process(),,0.015569,,46.0,PointSource,AUSTAL2000
process(),,0.01563,,47.0,PointSource,AUSTAL2000
process(),,0.015627,,48.0,PointSource,AUSTAL2000
process(),,0.015623,,49.0,PointSource,AUSTAL2000
process(),,0.015625,,50.0,PointSource,AUSTAL2000
process(),,0.015623,,51.0,PointSource,AUSTAL2000
process(),,0.015621,,52.0,PointSource,AUSTAL2000
process(),,0.01568,,53.0,PointSource,AUSTAL2000
process(),,0.015571,,54.0,PointSource,AUSTAL2000
process(),,0.0,,55.0,PointSource,AUSTAL2000
process(),,0.015624,,56.0,PointSource,AUSTAL2000
process(),,0.015625,,57.0,PointSource,AUSTAL2000
process(),,0.015664,,58.0,PointSource,AUSTAL2000
process(),,0.015592,,59.0,PointSource,AUSTAL2000
process(),,0.015676,,60.0,PointSource,AUSTAL2000
process(),,0.015572,,61.0,PointSource,AUSTAL2000
process(),,0.015624,,62.0,PointSource,AUSTAL2000
process(),,0.015677,,63.0,PointSource,AUSTAL2000
process(),,0.015625,,64.0,PointSource,AUSTAL2000
process(),,0.015605,,65.0,PointSource,AUSTAL2000
process(),,0.0,,66.0,PointSource,AUSTAL2000
process(),,0.015626,,67.0,PointSource,AUSTAL2000
process(),,0.015588,,68.0,PointSource,AUSTAL2000
process(),,0.015662,,69.0,PointSource,AUSTAL2000
process(),,0.01559,,70.0,PointSource,AUSTAL2000
process(),,0.015679,,71.0,PointSource,AUSTAL2000
process(),,0.01557,,72.0,PointSource,AUSTAL2000
process(),,0.0,,73.0,PointSource,AUSTAL2000
process(),,0.015625,,74.0,PointSource,AUSTAL2000
process(),,0.031403,,75.0,PointSource,AUSTAL2000
process(),,0.015595,,76.0,PointSource,AUSTAL2000
process(),,0.031299,,77.0,PointSource,AUSTAL2000
process(),,0.015627,,78.0,PointSource,AUSTAL2000
process(),,0.015574,,79.0,PointSource,AUSTAL2000
process(),,0.015624,,80.0,PointSource,AUSTAL2000
process(),,0.015656,,81.0,PointSource,AUSTAL2000
process(),,0.015594,,82.0,PointSource,AUSTAL2000
process(),,0.015655,,83.0,PointSource,AUSTAL2000
process(),,0.015594,,84.0,PointSource,AUSTAL2000
process(),,0.015679,,85.0,PointSource,AUSTAL2000
process(),,0.0,,86.0,PointSource,AUSTAL2000
process(),,0.015574,,87.0,PointSource,AUSTAL2000
process(),,0.015618,,88.0,PointSource,AUSTAL2000
process(),,0.015624,,89.0,PointSource,AUSTAL2000
process(),,0.015628,,90.0,PointSource,AUSTAL2000
process(),,0.015676,,91.0,PointSource,AUSTAL2000
process(),,0.015575,,92.0,PointSource,AUSTAL2000
process(),,0.0,,93.0,PointSource,AUSTAL2000
process(),,0.015625,,94.0,PointSource,AUSTAL2000
process(),,0.01562,,95.0,PointSource,AUSTAL2000
process(),,0.015628,,96.0,PointSource,AUSTAL2000
process(),,0.015623,,97.0,PointSource,AUSTAL2000
process(),,0.015679,,98.0,PointSource,AUSTAL2000
process(),,0.0,,99.0,PointSource,AUSTAL2000
process(),,0.015572,,100.0,PointSource,AUSTAL2000
process(),,0.015666,,101.0,PointSource,AUSTAL2000
process(),,0.015584,,102.0,PointSource,AUSTAL2000
process(),,0.015626,,103.0,PointSource,AUSTAL2000
process(),,0.015625,,104.0,PointSource,AUSTAL2000
process(),,0.0,,105.0,PointSource,AUSTAL2000
process(),,0.031251,,106.0,PointSource,AUSTAL2000
process(),,0.0,,107.0,PointSource,AUSTAL2000
process(),,0.015628,,108.0,PointSource,AUSTAL2000
process(),,0.015626,,109.0,PointSource,AUSTAL2000
process(),,0.015657,,110.0,PointSource,AUSTAL2000
process(),,0.015592,,111.0,PointSource,AUSTAL2000
process(),,0.015675,,112.0,PointSource,AUSTAL2000
process(),,0.0,,113.0,PointSource,AUSTAL2000
process(),,0.015574,,114.0,PointSource,AUSTAL2000
process(),,0.016878,,115.0,PointSource,AUSTAL2000
process(),,0.01564,,116.0,PointSource,AUSTAL2000
process(),,0.015623,,117.0,PointSource,AUSTAL2000
process(),,0.0,,118.0,PointSource,AUSTAL2000
process(),,0.015624,,119.0,PointSource,AUSTAL2000
process(),,0.020899,,120.0,PointSource,AUSTAL2000
process(),,0.015641,,121.0,PointSource,AUSTAL2000
process(),,0.015676,,122.0,PointSource,AUSTAL2000
process(),,0.0,,123.0,PointSource,AUSTAL2000
process(),,0.015574,,124.0,PointSource,AUSTAL2000
process(),,0.015626,,125.0,PointSource,AUSTAL2000
process(),,0.01562,,126.0,PointSource,AUSTAL2000
process(),,0.015627,,127.0,PointSource,AUSTAL2000
process(),,0.015621,,128.0,PointSource,AUSTAL2000
process(),,0.0,,129.0,PointSource,AUSTAL2000
process(),,0.015628,,130.0,PointSource,AUSTAL2000
process(),,0.015628,,131.0,PointSource,AUSTAL2000
process(),,0.015655,,132.0,PointSource,AUSTAL2000
process(),,0.01559,,133.0,PointSource,AUSTAL2000
process(),,0.015678,,134.0,PointSource,AUSTAL2000
process(),,0.0,,135.0,PointSource,AUSTAL2000
process(),,0.016876,,136.0,PointSource,AUSTAL2000
process(),,0.015636,,137.0,PointSource,AUSTAL2000
process(),,0.015626,,138.0,PointSource,AUSTAL2000
process(),,0.015659,,139.0,PointSource,AUSTAL2000
process(),,0.01559,,140.0,PointSource,AUSTAL2000
process(),,0.015678,,141.0,PointSource,AUSTAL2000
process(),,0.015628,,142.0,PointSource,AUSTAL2000
process(),,0.0,,143.0,PointSource,AUSTAL2000
process(),,0.015569,,144.0,PointSource,AUSTAL2000
process(),,0.015625,,145.0,PointSource,AUSTAL2000
process(),,0.01566,,146.0,PointSource,AUSTAL2000
process(),,0.015644,,147.0,PointSource,AUSTAL2000
process(),,0.015574,,148.0,PointSource,AUSTAL2000
process(),,0.0,,149.0,PointSource,AUSTAL2000
process(),,0.015626,,150.0,PointSource,AUSTAL2000
process(),,0.015626,,151.0,PointSource,AUSTAL2000
process(),,0.01566,,152.0,PointSource,AUSTAL2000
process(),,0.01559,,153.0,PointSource,AUSTAL2000
process(),,0.015623,,154.0,PointSource,AUSTAL2000
process(),,0.0,,155.0,PointSource,AUSTAL2000
process(),,0.015627,,156.0,PointSource,AUSTAL2000
process(),,0.015621,,157.0,PointSource,AUSTAL2000
process(),,0.015628,,158.0,PointSource,AUSTAL2000
process(),,0.015627,,159.0,PointSource,AUSTAL2000
process(),,0.011797,,160.0,PointSource,AUSTAL2000
process(),,0.015636,,161.0,PointSource,AUSTAL2000
process(),,0.015679,,162.0,PointSource,AUSTAL2000
process(),,0.0,,163.0,PointSource,AUSTAL2000
process(),,0.015571,,164.0,PointSource,AUSTAL2000
process(),,0.015625,,165.0,PointSource,AUSTAL2000
process(),,0.015678,,166.0,PointSource,AUSTAL2000
process(),,0.015609,,167.0,PointSource,AUSTAL2000
process(),,0.015593,,168.0,PointSource,AUSTAL2000
process(),,0.0,,169.0,PointSource,AUSTAL2000
process(),,0.015659,,170.0,PointSource,AUSTAL2000
process(),,0.015591,,171.0,PointSource,AUSTAL2000
process(),,0.015626,,172.0,PointSource,AUSTAL2000
process(),,0.015676,,173.0,PointSource,AUSTAL2000
process(),,0.015573,,174.0,PointSource,AUSTAL2000
process(),,0.015623,,175.0,PointSource,AUSTAL2000
process(),,0.031251,,176.0,PointSource,AUSTAL2000
process(),,0.032569,,177.0,PointSource,AUSTAL2000
process(),,0.015637,,178.0,PointSource,AUSTAL2000
process(),,0.015659,,179.0,PointSource,AUSTAL2000
process(),,0.015593,,180.0,PointSource,AUSTAL2000
process(),,0.015623,,181.0,PointSource,AUSTAL2000
process(),,0.015625,,182.0,PointSource,AUSTAL2000
process(),,0.015623,,183.0,PointSource,AUSTAL2000
process(),,0.015626,,184.0,PointSource,AUSTAL2000
process(),,0.0,,185.0,PointSource,AUSTAL2000
process(),,0.015626,,186.0,PointSource,AUSTAL2000
process(),,0.015626,,187.0,PointSource,AUSTAL2000
process(),,0.015624,,188.0,PointSource,AUSTAL2000
process(),,0.015624,,189.0,PointSource,AUSTAL2000
process(),,0.015624,,190.0,PointSource,AUSTAL2000
process(),,0.0,,191.0,PointSource,AUSTAL2000
process(),,0.015627,,192.0,PointSource,AUSTAL2000
process(),,0.015626,,193.0,PointSource,AUSTAL2000
process(),,0.015627,,194.0,PointSource,AUSTAL2000
process(),,0.015624,,195.0,PointSource,AUSTAL2000
process(),,0.015625,,196.0,PointSource,AUSTAL2000
process(),,0.015624,,197.0,PointSource,AUSTAL2000
process(),,0.015628,,198.0,PointSource,AUSTAL2000
process(),,0.015626,,199.0,PointSource,AUSTAL2000
process(),,0.025424,,200.0,PointSource,AUSTAL2000
process(),,0.015641,,201.0,PointSource,AUSTAL2000
process(),,0.015625,,202.0,PointSource,AUSTAL2000
process(),,0.0,,203.0,PointSource,AUSTAL2000
process(),,0.015628,,204.0,PointSource,AUSTAL2000
process(),,0.015623,,205.0,PointSource,AUSTAL2000
process(),,0.015624,,206.0,PointSource,AUSTAL2000
process(),,0.015622,,207.0,PointSource,AUSTAL2000
process(),,0.015626,,208.0,PointSource,AUSTAL2000
process(),,0.015625,,209.0,PointSource,AUSTAL2000
process(),,0.015622,,210.0,PointSource,AUSTAL2000
process(),,0.0,,211.0,PointSource,AUSTAL2000
process(),,0.015626,,212.0,PointSource,AUSTAL2000
process(),,0.015629,,213.0,PointSource,AUSTAL2000
process(),,0.015625,,214.0,PointSource,AUSTAL2000
process(),,0.016898,,215.0,PointSource,AUSTAL2000
process(),,0.015641,,216.0,PointSource,AUSTAL2000
process(),,0.0,,217.0,PointSource,AUSTAL2000
process(),,0.015627,,218.0,PointSource,AUSTAL2000
process(),,0.015625,,219.0,PointSource,AUSTAL2000
process(),,0.015623,,220.0,PointSource,AUSTAL2000
process(),,0.015622,,221.0,PointSource,AUSTAL2000
process(),,0.015626,,222.0,PointSource,AUSTAL2000
process(),,0.015623,,223.0,PointSource,AUSTAL2000
process(),,0.0,,224.0,PointSource,AUSTAL2000
process(),,0.015661,,225.0,PointSource,AUSTAL2000
process(),,0.015594,,226.0,PointSource,AUSTAL2000
process(),,0.015625,,227.0,PointSource,AUSTAL2000
process(),,0.015624,,228.0,PointSource,AUSTAL2000
process(),,0.015626,,229.0,PointSource,AUSTAL2000
process(),,0.015626,,230.0,PointSource,AUSTAL2000
process(),,0.0,,231.0,PointSource,AUSTAL2000
process(),,0.015625,,232.0,PointSource,AUSTAL2000
process(),,0.015624,,233.0,PointSource,AUSTAL2000
process(),,0.015625,,234.0,PointSource,AUSTAL2000
process(),,0.015625,,235.0,PointSource,AUSTAL2000
process(),,0.015625,,236.0,PointSource,AUSTAL2000
process(),,0.0,,237.0,PointSource,AUSTAL2000
process(),,0.031249,,238.0,PointSource,AUSTAL2000
process(),,0.015627,,239.0,PointSource,AUSTAL2000
process(),,0.015377,,240.0,PointSource,AUSTAL2000
process(),,0.01564,,241.0,PointSource,AUSTAL2000
process(),,0.015626,,242.0,PointSource,AUSTAL2000
process(),,0.015619,,243.0,PointSource,AUSTAL2000
process(),,0.015628,,244.0,PointSource,AUSTAL2000
process(),,0.0,,245.0,PointSource,AUSTAL2000
process(),,0.015625,,246.0,PointSource,AUSTAL2000
process(),,0.015624,,247.0,PointSource,AUSTAL2000
process(),,0.015656,,248.0,PointSource,AUSTAL2000
process(),,0.015592,,249.0,PointSource,AUSTAL2000
process(),,0.015625,,250.0,PointSource,AUSTAL2000
process(),,0.015629,,251.0,PointSource,AUSTAL2000
process(),,0.0,,252.0,PointSource,AUSTAL2000
process(),,0.015621,,253.0,PointSource,AUSTAL2000
process(),,0.015625,,254.0,PointSource,AUSTAL2000
process(),,0.01689,,255.0,PointSource,AUSTAL2000
process(),,0.017945,,256.0,PointSource,AUSTAL2000
process(),,0.015638,,257.0,PointSource,AUSTAL2000
process(),,0.01566,,258.0,PointSource,AUSTAL2000
process(),,0.015589,,259.0,PointSource,AUSTAL2000
process(),,0.015626,,260.0,PointSource,AUSTAL2000
process(),,0.015625,,261.0,PointSource,AUSTAL2000
process(),,0.0,,262.0,PointSource,AUSTAL2000
process(),,0.015629,,263.0,PointSource,AUSTAL2000
process(),,0.015623,,264.0,PointSource,AUSTAL2000
process(),,0.015659,,265.0,PointSource,AUSTAL2000
process(),,0.01559,,266.0,PointSource,AUSTAL2000
process(),,0.015624,,267.0,PointSource,AUSTAL2000
process(),,0.015623,,268.0,PointSource,AUSTAL2000
process(),,0.0,,269.0,PointSource,AUSTAL2000
process(),,0.015624,,270.0,PointSource,AUSTAL2000
process(),,0.015684,,271.0,PointSource,AUSTAL2000
process(),,0.016969,,272.0,PointSource,AUSTAL2000
process(),,0.015641,,273.0,PointSource,AUSTAL2000
process(),,0.015679,,274.0,PointSource,AUSTAL2000
process(),,0.0156,,275.0,PointSource,AUSTAL2000
process(),,0.0,,276.0,PointSource,AUSTAL2000
process(),,0.015597,,277.0,PointSource,AUSTAL2000
process(),,0.015623,,278.0,PointSource,AUSTAL2000
process(),,0.015627,,279.0,PointSource,AUSTAL2000
process(),,0.015659,,280.0,PointSource,AUSTAL2000
process(),,0.015641,,281.0,PointSource,AUSTAL2000
process(),,0.015626,,282.0,PointSource,AUSTAL2000
process(),,0.015575,,283.0,PointSource,AUSTAL2000
process(),,0.01562,,284.0,PointSource,AUSTAL2000
process(),,0.015626,,285.0,PointSource,AUSTAL2000
process(),,0.015622,,286.0,PointSource,AUSTAL2000
process(),,0.015625,,287.0,PointSource,AUSTAL2000
process(),,0.015627,,288.0,PointSource,AUSTAL2000
process(),,0.015623,,289.0,PointSource,AUSTAL2000
process(),,0.031284,,290.0,PointSource,AUSTAL2000
process(),,0.015646,,291.0,PointSource,AUSTAL2000
process(),,0.015576,,292.0,PointSource,AUSTAL2000
process(),,0.031281,,293.0,PointSource,AUSTAL2000
process(),,0.015647,,294.0,PointSource,AUSTAL2000
process(),,0.015622,,295.0,PointSource,AUSTAL2000
process(),,0.031233,,296.0,PointSource,AUSTAL2000
process(),,0.015641,,297.0,PointSource,AUSTAL2000
process(),,0.01557,,298.0,PointSource,AUSTAL2000
process(),,0.0,,299.0,PointSource,AUSTAL2000
process(),,0.01566,,300.0,PointSource,AUSTAL2000
process(),,0.015591,,301.0,PointSource,AUSTAL2000
process(),,0.015626,,302.0,PointSource,AUSTAL2000
process(),,0.015629,,303.0,PointSource,AUSTAL2000
process(),,0.015623,,304.0,PointSource,AUSTAL2000
process(),,0.015625,,305.0,PointSource,AUSTAL2000
process(),,0.025379,,306.0,PointSource,AUSTAL2000
process(),,0.022603,,307.0,PointSource,AUSTAL2000
process(),,0.017429,,308.0,PointSource,AUSTAL2000
process(),,0.015079,,309.0,PointSource,AUSTAL2000
process(),,0.017937,,310.0,PointSource,AUSTAL2000
process(),,0.013994,,311.0,PointSource,AUSTAL2000
process(),,0.012997,,312.0,PointSource,AUSTAL2000
process(),,0.006114,,313.0,PointSource,AUSTAL2000
process(),,0.015665,,314.0,PointSource,AUSTAL2000
process(),,0.015594,,315.0,PointSource,AUSTAL2000
process(),,0.015678,,316.0,PointSource,AUSTAL2000
process(),,0.016855,,317.0,PointSource,AUSTAL2000
process(),,0.003094,,318.0,PointSource,AUSTAL2000
process(),,0.015635,,319.0,PointSource,AUSTAL2000
process(),,0.015625,,320.0,PointSource,AUSTAL2000
process(),,0.015625,,321.0,PointSource,AUSTAL2000
process(),,0.015674,,322.0,PointSource,AUSTAL2000
process(),,0.015575,,323.0,PointSource,AUSTAL2000
process(),,0.0,,324.0,PointSource,AUSTAL2000
process(),,0.031246,,325.0,PointSource,AUSTAL2000
process(),,0.015627,,326.0,PointSource,AUSTAL2000
process(),,0.015623,,327.0,PointSource,AUSTAL2000
process(),,0.015624,,328.0,PointSource,AUSTAL2000
process(),,0.015625,,329.0,PointSource,AUSTAL2000
process(),,0.0,,330.0,PointSource,AUSTAL2000
process(),,0.015627,,331.0,PointSource,AUSTAL2000
process(),,0.015626,,332.0,PointSource,AUSTAL2000
process(),,0.015624,,333.0,PointSource,AUSTAL2000
process(),,0.031249,,334.0,PointSource,AUSTAL2000
process(),,0.0,,335.0,PointSource,AUSTAL2000
process(),,0.01566,,336.0,PointSource,AUSTAL2000
process(),,0.015591,,337.0,PointSource,AUSTAL2000
process(),,0.015626,,338.0,PointSource,AUSTAL2000
process(),,0.015623,,339.0,PointSource,AUSTAL2000
process(),,0.015624,,340.0,PointSource,AUSTAL2000
process(),,0.015625,,341.0,PointSource,AUSTAL2000
process(),,0.015626,,342.0,PointSource,AUSTAL2000
process(),,0.0,,343.0,PointSource,AUSTAL2000
process(),,0.028037,,344.0,PointSource,AUSTAL2000
process(),,0.013162,,345.0,PointSource,AUSTAL2000
process(),,0.013216,,346.0,PointSource,AUSTAL2000
process(),,0.013437,,347.0,PointSource,AUSTAL2000
process(),,0.013242,,348.0,PointSource,AUSTAL2000
process(),,0.012536,,349.0,PointSource,AUSTAL2000
process(),,0.018492,,350.0,PointSource,AUSTAL2000
process(),,0.027613,,351.0,PointSource,AUSTAL2000
process(),,0.014061,,352.0,PointSource,AUSTAL2000
process(),,0.02039,,353.0,PointSource,AUSTAL2000
process(),,0.015632,,354.0,PointSource,AUSTAL2000
process(),,0.015663,,355.0,PointSource,AUSTAL2000
process(),,0.015637,,356.0,PointSource,AUSTAL2000
process(),,0.01563,,357.0,PointSource,AUSTAL2000
process(),,0.015568,,358.0,PointSource,AUSTAL2000
process(),,0.015622,,359.0,PointSource,AUSTAL2000
process(),,0.015678,,360.0,PointSource,AUSTAL2000
process(),,0.015611,,361.0,PointSource,AUSTAL2000
process(),,0.0,,362.0,PointSource,AUSTAL2000
process(),,0.015623,,363.0,PointSource,AUSTAL2000
process(),,0.015625,,364.0,PointSource,AUSTAL2000
process(),,0.015627,,365.0,PointSource,AUSTAL2000
process(),,0.015588,,366.0,PointSource,AUSTAL2000
process(),,0.015624,,367.0,PointSource,AUSTAL2000
process(),,0.015679,,368.0,PointSource,AUSTAL2000
process(),,0.015571,,369.0,PointSource,AUSTAL2000
process(),,0.0,,370.0,PointSource,AUSTAL2000
process(),,0.015632,,371.0,PointSource,AUSTAL2000
process(),,0.015617,,372.0,PointSource,AUSTAL2000
process(),,0.015682,,373.0,PointSource,AUSTAL2000
process(),,0.015622,,374.0,PointSource,AUSTAL2000
process(),,0.015624,,375.0,PointSource,AUSTAL2000
process(),,0.015625,,376.0,PointSource,AUSTAL2000
process(),,0.015572,,377.0,PointSource,AUSTAL2000
process(),,0.01568,,378.0,PointSource,AUSTAL2000
process(),,0.0,,379.0,PointSource,AUSTAL2000
process(),,0.015571,,380.0,PointSource,AUSTAL2000
process(),,0.015624,,381.0,PointSource,AUSTAL2000
process(),,0.015626,,382.0,PointSource,AUSTAL2000
process(),,0.01566,,383.0,PointSource,AUSTAL2000
process(),,0.015642,,384.0,PointSource,AUSTAL2000
process(),,0.0,,385.0,PointSource,AUSTAL2000
process(),,0.015573,,386.0,PointSource,AUSTAL2000
process(),,0.015686,,387.0,PointSource,AUSTAL2000
process(),,0.015563,,388.0,PointSource,AUSTAL2000
process(),,0.015624,,389.0,PointSource,AUSTAL2000
process(),,0.031286,,390.0,PointSource,AUSTAL2000
process(),,0.01559,,391.0,PointSource,AUSTAL2000
process(),,0.015662,,392.0,PointSource,AUSTAL2000
process(),,0.015588,,393.0,PointSource,AUSTAL2000
process(),,0.015686,,394.0,PointSource,AUSTAL2000
