stage,source_module,timestamp,dispersion_module,count,source_modules,dispersion modules
beginJob(),PointSource,0.0,,,,
beginJob(),,6.232908,AUSTAL2000,,,
process(),,0.015627,,1.0,PointSource,AUSTAL2000
process(),,0.031284,,2.0,PointSource,AUSTAL2000
process(),,0.015624,,3.0,PointSource,AUSTAL2000
process(),,0.046842,,4.0,PointSource,AUSTAL2000
process(),,0.0,,5.0,PointSource,AUSTAL2000
process(),,0.015626,,6.0,PointSource,AUSTAL2000
process(),,0.015626,,7.0,PointSource,AUSTAL2000
process(),,0.015624,,8.0,PointSource,AUSTAL2000
process(),,0.015623,,9.0,PointSource,AUSTAL2000
process(),,0.015625,,10.0,PointSource,AUSTAL2000
process(),,0.015625,,11.0,PointSource,AUSTAL2000
process(),,0.015627,,12.0,PointSource,AUSTAL2000
process(),,0.015623,,13.0,PointSource,AUSTAL2000
process(),,0.015625,,14.0,PointSource,AUSTAL2000
process(),,0.015625,,15.0,PointSource,AUSTAL2000
process(),,0.0,,16.0,PointSource,AUSTAL2000
process(),,0.015627,,17.0,PointSource,AUSTAL2000
process(),,0.015625,,18.0,PointSource,AUSTAL2000
process(),,0.015624,,19.0,PointSource,AUSTAL2000
process(),,0.031249,,20.0,PointSource,AUSTAL2000
process(),,0.015625,,21.0,PointSource,AUSTAL2000
process(),,0.015625,,22.0,PointSource,AUSTAL2000
process(),,0.0,,23.0,PointSource,AUSTAL2000
process(),,0.015627,,24.0,PointSource,AUSTAL2000
process(),,0.015625,,25.0,PointSource,AUSTAL2000
process(),,0.015626,,26.0,PointSource,AUSTAL2000
process(),,0.031247,,27.0,PointSource,AUSTAL2000
process(),,0.015624,,28.0,PointSource,AUSTAL2000
process(),,0.015625,,29.0,PointSource,AUSTAL2000
process(),,0.046876,,30.0,PointSource,AUSTAL2000
process(),,0.015624,,31.0,PointSource,AUSTAL2000
process(),,0.015626,,32.0,PointSource,AUSTAL2000
process(),,0.0,,33.0,PointSource,AUSTAL2000
process(),,0.015626,,34.0,PointSource,AUSTAL2000
process(),,0.015658,,35.0,PointSource,AUSTAL2000
process(),,0.015627,,36.0,PointSource,AUSTAL2000
process(),,0.015589,,37.0,PointSource,AUSTAL2000
process(),,0.015677,,38.0,PointSource,AUSTAL2000
process(),,0.015627,,39.0,PointSource,AUSTAL2000
process(),,0.015604,,40.0,PointSource,AUSTAL2000
process(),,0.015647,,41.0,PointSource,AUSTAL2000
process(),,0.01557,,42.0,PointSource,AUSTAL2000
process(),,0.015665,,43.0,PointSource,AUSTAL2000
process(),,0.015586,,44.0,PointSource,AUSTAL2000
process(),,0.015679,,45.0,PointSource,AUSTAL2000
process(),,0.015623,,46.0,PointSource,AUSTAL2000
process(),,0.015626,,47.0,PointSource,AUSTAL2000
process(),,0.015602,,48.0,PointSource,AUSTAL2000
process(),,0.031271,,49.0,PointSource,AUSTAL2000
process(),,0.031253,,50.0,PointSource,AUSTAL2000
process(),,0.015572,,51.0,PointSource,AUSTAL2000
process(),,0.015623,,52.0,PointSource,AUSTAL2000
process(),,0.015625,,53.0,PointSource,AUSTAL2000
process(),,0.015625,,54.0,PointSource,AUSTAL2000
process(),,0.0,,55.0,PointSource,AUSTAL2000
process(),,0.015627,,56.0,PointSource,AUSTAL2000
