stage,source_module,timestamp,dispersion_module,count,source_modules,dispersion modules
beginJob(),PointSource,0.015624,,,,
beginJob(),,46.844211,AUSTAL2000,,,
process(),,0.031253,,1.0,PointSource,AUSTAL2000
process(),,0.015622,,2.0,PointSource,AUSTAL2000
process(),,0.015705,,3.0,PointSource,AUSTAL2000
process(),,0.015544,,4.0,PointSource,AUSTAL2000
process(),,0.0,,5.0,PointSource,AUSTAL2000
process(),,0.015626,,6.0,PointSource,AUSTAL2000
process(),,0.015625,,7.0,PointSource,AUSTAL2000
process(),,0.015624,,8.0,PointSource,AUSTAL2000
process(),,0.015627,,9.0,PointSource,AUSTAL2000
process(),,0.015626,,10.0,PointSource,AUSTAL2000
process(),,0.015623,,11.0,PointSource,AUSTAL2000
process(),,0.015626,,12.0,PointSource,AUSTAL2000
process(),,0.015624,,13.0,PointSource,AUSTAL2000
process(),,0.0,,14.0,PointSource,AUSTAL2000
process(),,0.015626,,15.0,PointSource,AUSTAL2000
process(),,0.015624,,16.0,PointSource,AUSTAL2000
process(),,0.015631,,17.0,PointSource,AUSTAL2000
process(),,0.016896,,18.0,PointSource,AUSTAL2000
process(),,0.015634,,19.0,PointSource,AUSTAL2000
process(),,0.017949,,20.0,PointSource,AUSTAL2000
process(),,0.015634,,21.0,PointSource,AUSTAL2000
process(),,0.015624,,22.0,PointSource,AUSTAL2000
process(),,0.0,,23.0,PointSource,AUSTAL2000
process(),,0.015627,,24.0,PointSource,AUSTAL2000
process(),,0.01563,,25.0,PointSource,AUSTAL2000
process(),,0.015617,,26.0,PointSource,AUSTAL2000
process(),,0.015625,,27.0,PointSource,AUSTAL2000
process(),,0.01563,,28.0,PointSource,AUSTAL2000
process(),,0.015622,,29.0,PointSource,AUSTAL2000
process(),,0.0,,30.0,PointSource,AUSTAL2000
process(),,0.015625,,31.0,PointSource,AUSTAL2000
process(),,0.055084,,32.0,PointSource,AUSTAL2000
process(),,0.007422,,33.0,PointSource,AUSTAL2000
process(),,0.015623,,34.0,PointSource,AUSTAL2000
process(),,0.015619,,35.0,PointSource,AUSTAL2000
process(),,0.015626,,36.0,PointSource,AUSTAL2000
process(),,0.015625,,37.0,PointSource,AUSTAL2000
process(),,0.0,,38.0,PointSource,AUSTAL2000
process(),,0.015624,,39.0,PointSource,AUSTAL2000
process(),,0.015627,,40.0,PointSource,AUSTAL2000
process(),,0.015626,,41.0,PointSource,AUSTAL2000
process(),,0.015624,,42.0,PointSource,AUSTAL2000
process(),,0.015625,,43.0,PointSource,AUSTAL2000
process(),,0.03125,,44.0,PointSource,AUSTAL2000
process(),,0.0,,45.0,PointSource,AUSTAL2000
process(),,0.015633,,46.0,PointSource,AUSTAL2000
process(),,0.015617,,47.0,PointSource,AUSTAL2000
process(),,0.015626,,48.0,PointSource,AUSTAL2000
process(),,0.015624,,49.0,PointSource,AUSTAL2000
process(),,0.015623,,50.0,PointSource,AUSTAL2000
process(),,0.015627,,51.0,PointSource,AUSTAL2000
process(),,0.015631,,52.0,PointSource,AUSTAL2000
process(),,0.015619,,53.0,PointSource,AUSTAL2000
process(),,0.015625,,54.0,PointSource,AUSTAL2000
process(),,0.015629,,55.0,PointSource,AUSTAL2000
process(),,0.015621,,56.0,PointSource,AUSTAL2000
process(),,0.015625,,57.0,PointSource,AUSTAL2000
process(),,0.0,,58.0,PointSource,AUSTAL2000
process(),,0.015624,,59.0,PointSource,AUSTAL2000
process(),,0.015627,,60.0,PointSource,AUSTAL2000
process(),,0.015624,,61.0,PointSource,AUSTAL2000
process(),,0.015625,,62.0,PointSource,AUSTAL2000
process(),,0.015626,,63.0,PointSource,AUSTAL2000
process(),,0.015623,,64.0,PointSource,AUSTAL2000
process(),,0.01563,,65.0,PointSource,AUSTAL2000
process(),,0.0,,66.0,PointSource,AUSTAL2000
process(),,0.015623,,67.0,PointSource,AUSTAL2000
process(),,0.015622,,68.0,PointSource,AUSTAL2000
process(),,0.015626,,69.0,PointSource,AUSTAL2000
process(),,0.015625,,70.0,PointSource,AUSTAL2000
process(),,0.015625,,71.0,PointSource,AUSTAL2000
