stage,source_module,timestamp,dispersion_module,count,source_modules,dispersion modules
beginJob(),PointSource,0.009997,,,,
beginJob(),,5.997592,AUSTAL2000,,,
process(),,0.031001,,1.0,PointSource,AUSTAL2000
process(),,0.019,,2.0,PointSource,AUSTAL2000
process(),,0.01403,,3.0,PointSource,AUSTAL2000
process(),,0.013968,,4.0,PointSource,AUSTAL2000
process(),,0.016001,,5.0,PointSource,AUSTAL2000
process(),,0.015,,6.0,PointSource,AUSTAL2000
process(),,0.014001,,7.0,PointSource,AUSTAL2000
process(),,0.014998,,8.0,PointSource,AUSTAL2000
process(),,0.019001,,9.0,PointSource,AUSTAL2000
process(),,0.014999,,10.0,PointSource,AUSTAL2000
process(),,0.015,,11.0,PointSource,AUSTAL2000
process(),,0.015,,12.0,PointSource,AUSTAL2000
process(),,0.016,,13.0,PointSource,AUSTAL2000
process(),,0.025001,,14.0,PointSource,AUSTAL2000
process(),,0.015,,15.0,PointSource,AUSTAL2000
process(),,0.017013,,16.0,PointSource,AUSTAL2000
process(),,0.01499,,17.0,PointSource,AUSTAL2000
process(),,0.013999,,18.0,PointSource,AUSTAL2000
process(),,0.015,,19.0,PointSource,AUSTAL2000
process(),,0.030997,,20.0,PointSource,AUSTAL2000
process(),,0.014,,21.0,PointSource,AUSTAL2000
process(),,0.015002,,22.0,PointSource,AUSTAL2000
process(),,0.014052,,23.0,PointSource,AUSTAL2000
process(),,0.014948,,24.0,PointSource,AUSTAL2000
process(),,0.014051,,25.0,PointSource,AUSTAL2000
process(),,0.014983,,26.0,PointSource,AUSTAL2000
process(),,0.014964,,27.0,PointSource,AUSTAL2000
process(),,0.014031,,28.0,PointSource,AUSTAL2000
process(),,0.01697,,29.0,PointSource,AUSTAL2000
process(),,0.025,,30.0,PointSource,AUSTAL2000
process(),,0.015002,,31.0,PointSource,AUSTAL2000
process(),,0.013997,,32.0,PointSource,AUSTAL2000
process(),,0.015053,,33.0,PointSource,AUSTAL2000
