stage,source_module,timestamp,dispersion_module,count,source_modules,dispersion modules
beginJob(),AreaSource,0.01,,,,
beginJob(),MovementSource,0.761866,,,,
beginJob(),ParkingSource,0.001002,,,,
beginJob(),PointSource,0.000998,,,,
beginJob(),,3.472286,AUSTAL2000,,,
process(),,12.915911,,1.0,"AreaSource, MovementSource, ParkingSource, PointSource",AUSTAL2000
process(),,12.753936,,2.0,"AreaSource, MovementSource, ParkingSource, PointSource",AUSTAL2000
process(),,10.270669,,3.0,"AreaSource, MovementSource, ParkingSource, PointSource",AUSTAL2000
process(),,7.678,,4.0,"AreaSource, MovementSource, ParkingSource, PointSource",AUSTAL2000
process(),,0.032,,5.0,"AreaSource, MovementSource, ParkingSource, PointSource",AUSTAL2000
process(),,8.814935,,6.0,"AreaSource, MovementSource, ParkingSource, PointSource",AUSTAL2000
process(),,10.276302,,7.0,"AreaSource, MovementSource, ParkingSource, PointSource",AUSTAL2000
process(),,14.941637,,8.0,"AreaSource, MovementSource, ParkingSource, PointSource",AUSTAL2000
process(),,9.693729,,9.0,"AreaSource, MovementSource, ParkingSource, PointSource",AUSTAL2000
process(),,10.193178,,10.0,"AreaSource, MovementSource, ParkingSource, PointSource",AUSTAL2000
process(),,9.573685,,11.0,"AreaSource, MovementSource, ParkingSource, PointSource",AUSTAL2000
process(),,11.242878,,12.0,"AreaSource, MovementSource, ParkingSource, PointSource",AUSTAL2000
process(),,8.761814,,13.0,"AreaSource, MovementSource, ParkingSource, PointSource",AUSTAL2000
process(),,10.294706,,14.0,"AreaSource, MovementSource, ParkingSource, PointSource",AUSTAL2000
process(),,0.457,,15.0,"AreaSource, MovementSource, ParkingSource, PointSource",AUSTAL2000
process(),,11.574074,,16.0,"AreaSource, MovementSource, ParkingSource, PointSource",AUSTAL2000
process(),,9.004139,,17.0,"AreaSource, MovementSource, ParkingSource, PointSource",AUSTAL2000
process(),,8.169909,,18.0,"AreaSource, MovementSource, ParkingSource, PointSource",AUSTAL2000
process(),,10.482316,,19.0,"AreaSource, MovementSource, ParkingSource, PointSource",AUSTAL2000
process(),,0.062564,,20.0,"AreaSource, MovementSource, ParkingSource, PointSource",AUSTAL2000
endJob(),AreaSource,0.0,,,,
endJob(),MovementSource,0.0,,,,
endJob(),ParkingSource,0.0,,,,
endJob(),PointSource,0.0,,,,
endJob(),,0.003001,AUSTAL2000,,,
