stage,source_module,timestamp,dispersion_module,count,source_modules,dispersion modules
beginJob(),PointSource,0.001,,,,
beginJob(),,4.481729,AUSTAL2000,,,
process(),,0.033878,,1.0,PointSource,AUSTAL2000
process(),,0.026,,2.0,PointSource,AUSTAL2000
process(),,0.021998,,3.0,PointSource,AUSTAL2000
process(),,0.021999,,4.0,PointSource,AUSTAL2000
process(),,0.021,,5.0,PointSource,AUSTAL2000
process(),,0.022,,6.0,PointSource,AUSTAL2000
process(),,0.020999,,7.0,PointSource,AUSTAL2000
process(),,0.021001,,8.0,PointSource,AUSTAL2000
process(),,0.021,,9.0,PointSource,AUSTAL2000
process(),,0.021001,,10.0,PointSource,AUSTAL2000
process(),,0.020999,,11.0,PointSource,AUSTAL2000
process(),,0.020999,,12.0,PointSource,AUSTAL2000
process(),,0.021,,13.0,PointSource,AUSTAL2000
process(),,0.021,,14.0,PointSource,AUSTAL2000
process(),,0.021,,15.0,PointSource,AUSTAL2000
process(),,0.021001,,16.0,PointSource,AUSTAL2000
process(),,0.020999,,17.0,PointSource,AUSTAL2000
process(),,0.021,,18.0,PointSource,AUSTAL2000
process(),,0.021001,,19.0,PointSource,AUSTAL2000
process(),,0.030113,,20.0,PointSource,AUSTAL2000
process(),,0.02,,21.0,PointSource,AUSTAL2000
process(),,0.020999,,22.0,PointSource,AUSTAL2000
process(),,0.022002,,23.0,PointSource,AUSTAL2000
process(),,0.022999,,24.0,PointSource,AUSTAL2000
process(),,0.019999,,25.0,PointSource,AUSTAL2000
process(),,0.021,,26.0,PointSource,AUSTAL2000
process(),,0.02,,27.0,PointSource,AUSTAL2000
process(),,0.021062,,28.0,PointSource,AUSTAL2000
process(),,0.020993,,29.0,PointSource,AUSTAL2000
process(),,0.020945,,30.0,PointSource,AUSTAL2000
process(),,0.021,,31.0,PointSource,AUSTAL2000
process(),,0.021,,32.0,PointSource,AUSTAL2000
process(),,0.021,,33.0,PointSource,AUSTAL2000
process(),,0.021,,34.0,PointSource,AUSTAL2000
process(),,0.021001,,35.0,PointSource,AUSTAL2000
process(),,0.021001,,36.0,PointSource,AUSTAL2000
process(),,0.020998,,37.0,PointSource,AUSTAL2000
process(),,0.021,,38.0,PointSource,AUSTAL2000
process(),,0.021001,,39.0,PointSource,AUSTAL2000
process(),,0.021,,40.0,PointSource,AUSTAL2000
process(),,0.022001,,41.0,PointSource,AUSTAL2000
process(),,0.024004,,42.0,PointSource,AUSTAL2000
process(),,0.020994,,43.0,PointSource,AUSTAL2000
process(),,0.021,,44.0,PointSource,AUSTAL2000
