stage,count,source_modules,dispersion modules,timestamp
process(),1,PointSource,AUSTAL2000,0.026033
process(),2,PointSource,AUSTAL2000,0.018971
process(),3,PointSource,AUSTAL2000,0.015049
process(),4,PointSource,AUSTAL2000,0.012983
process(),5,PointSource,AUSTAL2000,0.012982
process(),6,PointSource,AUSTAL2000,0.014016
process(),7,PointSource,AUSTAL2000,0.014005
process(),8,PointSource,AUSTAL2000,0.012959
process(),9,PointSource,AUSTAL2000,0.013037
process(),10,PointSource,AUSTAL2000,0.013966
process(),11,PointSource,AUSTAL2000,0.012998
process(),12,PointSource,AUSTAL2000,0.016999
process(),13,PointSource,AUSTAL2000,0.013055
process(),14,PointSource,AUSTAL2000,0.013
process(),15,PointSource,AUSTAL2000,0.012982
process(),16,PointSource,AUSTAL2000,0.013017
process(),17,PointSource,AUSTAL2000,0.011949
process(),18,PointSource,AUSTAL2000,0.013034
process(),19,PointSource,AUSTAL2000,0.012966
process(),20,PointSource,AUSTAL2000,0.017032
process(),21,PointSource,AUSTAL2000,0.013022
process(),22,PointSource,AUSTAL2000,0.012943
process(),23,PointSource,AUSTAL2000,0.012055
process(),24,PointSource,AUSTAL2000,0.013002
process(),25,PointSource,AUSTAL2000,0.012997
process(),26,PointSource,AUSTAL2000,0.01295
process(),27,PointSource,AUSTAL2000,0.013031
process(),28,PointSource,AUSTAL2000,0.012967
process(),29,PointSource,AUSTAL2000,0.014041
process(),30,PointSource,AUSTAL2000,0.012992
process(),31,PointSource,AUSTAL2000,0.012965
process(),32,PointSource,AUSTAL2000,0.013035
process(),33,PointSource,AUSTAL2000,0.013003
process(),34,PointSource,AUSTAL2000,0.013021
process(),35,PointSource,AUSTAL2000,0.012996
process(),36,PointSource,AUSTAL2000,0.012948
process(),37,PointSource,AUSTAL2000,0.013034
process(),38,PointSource,AUSTAL2000,0.012966
process(),39,PointSource,AUSTAL2000,0.013033
process(),40,PointSource,AUSTAL2000,0.015965
process(),41,PointSource,AUSTAL2000,0.012053
process(),42,PointSource,AUSTAL2000,0.01395
process(),43,PointSource,AUSTAL2000,0.017001
process(),44,PointSource,AUSTAL2000,0.017999
process(),45,PointSource,AUSTAL2000,0.013
process(),46,PointSource,AUSTAL2000,0.012996
process(),47,PointSource,AUSTAL2000,0.013002
process(),48,PointSource,AUSTAL2000,0.013035
process(),49,PointSource,AUSTAL2000,0.013017
process(),50,PointSource,AUSTAL2000,0.013
process(),51,PointSource,AUSTAL2000,0.016002
process(),52,PointSource,AUSTAL2000,0.021945
process(),53,PointSource,AUSTAL2000,0.016039
process(),54,PointSource,AUSTAL2000,0.013015
process(),55,PointSource,AUSTAL2000,0.012981
process(),56,PointSource,AUSTAL2000,0.012967
process(),57,PointSource,AUSTAL2000,0.013034
process(),58,PointSource,AUSTAL2000,0.013003
process(),59,PointSource,AUSTAL2000,0.012998
process(),60,PointSource,AUSTAL2000,0.012965
process(),61,PointSource,AUSTAL2000,0.012999
process(),62,PointSource,AUSTAL2000,0.013053
process(),63,PointSource,AUSTAL2000,0.012947
process(),64,PointSource,AUSTAL2000,0.012001
process(),65,PointSource,AUSTAL2000,0.013
process(),66,PointSource,AUSTAL2000,0.013998
process(),67,PointSource,AUSTAL2000,0.013999
process(),68,PointSource,AUSTAL2000,0.017002
process(),69,PointSource,AUSTAL2000,0.012998
process(),70,PointSource,AUSTAL2000,0.013035
process(),71,PointSource,AUSTAL2000,0.012967
process(),72,PointSource,AUSTAL2000,0.012032
process(),73,PointSource,AUSTAL2000,0.017021
process(),74,PointSource,AUSTAL2000,0.013
process(),75,PointSource,AUSTAL2000,0.012948
process(),76,PointSource,AUSTAL2000,0.013035
process(),77,PointSource,AUSTAL2000,0.013
process(),78,PointSource,AUSTAL2000,0.013016
process(),79,PointSource,AUSTAL2000,0.012949
process(),80,PointSource,AUSTAL2000,0.025034
process(),81,PointSource,AUSTAL2000,0.013018
process(),82,PointSource,AUSTAL2000,0.012948
process(),83,PointSource,AUSTAL2000,0.014052
process(),84,PointSource,AUSTAL2000,0.01297
process(),85,PointSource,AUSTAL2000,0.012029
process(),86,PointSource,AUSTAL2000,0.012949
process(),87,PointSource,AUSTAL2000,0.013
process(),88,PointSource,AUSTAL2000,0.051044
process(),89,PointSource,AUSTAL2000,0.021999
process(),90,PointSource,AUSTAL2000,0.01601
process(),91,PointSource,AUSTAL2000,0.013
process(),92,PointSource,AUSTAL2000,0.012979
process(),93,PointSource,AUSTAL2000,0.012968
