stage,count,source_modules,dispersion modules,timestamp
process(),1,PointSource,,0.015
process(),2,PointSource,,0.014056
process(),3,PointSource,,0.005995
process(),4,PointSource,,0.003949
process(),5,PointSource,,0.005051
process(),6,PointSource,,0.005001
process(),7,PointSource,,0.004001
process(),8,PointSource,,0.005006
process(),9,PointSource,,0.003993
process(),10,PointSource,,0.004
process(),11,PointSource,,0.004984
process(),12,PointSource,,0.005018
process(),13,PointSource,,0.003998
process(),14,PointSource,,0.004949
process(),15,PointSource,,0.005052
process(),16,PointSource,,0.003999
process(),17,PointSource,,0.005004
process(),18,PointSource,,0.004979
process(),19,PointSource,,0.005021
process(),20,PointSource,,0.004996
process(),21,PointSource,,0.004002
process(),22,PointSource,,0.004999
process(),23,PointSource,,0.004008
process(),24,PointSource,,0.004992
process(),25,PointSource,,0.00499
process(),26,PointSource,,0.004013
process(),27,PointSource,,0.004996
process(),28,PointSource,,0.004002
process(),29,PointSource,,0.00498
process(),30,PointSource,,0.004018
process(),31,PointSource,,0.005001
process(),32,PointSource,,0.004006
process(),33,PointSource,,0.004997
process(),34,PointSource,,0.004981
process(),35,PointSource,,0.004017
process(),36,PointSource,,0.003999
process(),37,PointSource,,0.004999
process(),38,PointSource,,0.005001
process(),39,PointSource,,0.003999
process(),40,PointSource,,0.004981
process(),41,PointSource,,0.005019
process(),42,PointSource,,0.003982
process(),43,PointSource,,0.005022
process(),44,PointSource,,0.004996
process(),45,PointSource,,0.003981
process(),46,PointSource,,0.005019
process(),47,PointSource,,0.003984
process(),48,PointSource,,0.005016
process(),49,PointSource,,0.004001
process(),50,PointSource,,0.005
process(),51,PointSource,,0.003981
process(),52,PointSource,,0.005019
process(),53,PointSource,,0.004999
process(),54,PointSource,,0.004003
process(),55,PointSource,,0.003997
process(),56,PointSource,,0.005001
process(),57,PointSource,,0.005
process(),58,PointSource,,0.003994
process(),59,PointSource,,0.005006
process(),60,PointSource,,0.003999
process(),61,PointSource,,0.005003
process(),62,PointSource,,0.003989
process(),63,PointSource,,0.005009
process(),64,PointSource,,0.003999
process(),65,PointSource,,0.005
process(),66,PointSource,,0.005001
process(),67,PointSource,,0.003999
process(),68,PointSource,,0.005003
process(),69,PointSource,,0.003973
process(),70,PointSource,,0.005025
process(),71,PointSource,,0.003999
process(),72,PointSource,,0.005003
process(),73,PointSource,,0.004002
process(),74,PointSource,,0.004995
process(),75,PointSource,,0.004001
process(),76,PointSource,,0.003949
process(),77,PointSource,,0.00505
process(),78,PointSource,,0.004
process(),79,PointSource,,0.004003
process(),80,PointSource,,0.004998
process(),81,PointSource,,0.004
process(),82,PointSource,,0.004001
process(),83,PointSource,,0.004945
process(),84,PointSource,,0.004059
process(),85,PointSource,,0.003993
process(),86,PointSource,,0.004001
process(),87,PointSource,,0.004948
process(),88,PointSource,,0.005
