stage,count,source_modules,dispersion modules,timestamp
process(),1,PointSource,,0.014856
process(),2,PointSource,,0.010051
process(),3,PointSource,,0.005623
process(),4,PointSource,,0.004995
process(),5,PointSource,,0.005013
process(),6,PointSource,,0.005024
process(),7,PointSource,,0.005008
process(),8,PointSource,,0.005055
process(),9,PointSource,,0.004983
process(),10,PointSource,,0.005051
process(),11,PointSource,,0.005065
process(),12,PointSource,,0.004
process(),13,PointSource,,0.005065
process(),14,PointSource,,0.005
process(),15,PointSource,,0.004998
process(),16,PointSource,,0.004996
process(),17,PointSource,,0.00496
process(),18,PointSource,,0.005054
process(),19,PointSource,,0.004356
process(),20,PointSource,,0.005997
process(),21,PointSource,,0.003972
process(),22,PointSource,,0.004998
process(),23,PointSource,,0.006099
process(),24,PointSource,,0.004001
process(),25,PointSource,,0.004966
process(),26,PointSource,,0.005052
process(),27,PointSource,,0.005013
process(),28,PointSource,,0.005
process(),29,PointSource,,0.004053
process(),30,PointSource,,0.006
process(),31,PointSource,,0.003998
process(),32,PointSource,,0.005045
process(),33,PointSource,,0.005011
process(),34,PointSource,,0.005051
process(),35,PointSource,,0.005036
process(),36,PointSource,,0.006059
process(),37,PointSource,,0.005007
process(),38,PointSource,,0.005056
process(),39,PointSource,,0.005042
process(),40,PointSource,,0.004016
process(),41,PointSource,,0.005491
process(),42,PointSource,,0.004054
process(),43,PointSource,,0.005001
process(),44,PointSource,,0.00495
process(),45,PointSource,,0.005004
process(),46,PointSource,,0.004945
process(),47,PointSource,,0.004997
process(),48,PointSource,,0.005055
process(),49,PointSource,,0.005
process(),50,PointSource,,0.004903
process(),51,PointSource,,0.004999
process(),52,PointSource,,0.004
process(),53,PointSource,,0.006001
process(),54,PointSource,,0.00498
process(),55,PointSource,,0.005201
process(),56,PointSource,,0.004091
process(),57,PointSource,,0.00518
process(),58,PointSource,,0.004578
process(),59,PointSource,,0.004
process(),60,PointSource,,0.005997
process(),61,PointSource,,0.004999
process(),62,PointSource,,0.004067
process(),63,PointSource,,0.004976
process(),64,PointSource,,0.005888
process(),65,PointSource,,0.005018
process(),66,PointSource,,0.00401
process(),67,PointSource,,0.004947
process(),68,PointSource,,0.005933
process(),69,PointSource,,0.003992
process(),70,PointSource,,0.004441
process(),71,PointSource,,0.005037
process(),72,PointSource,,0.004077
process(),73,PointSource,,0.004984
process(),74,PointSource,,0.004929
process(),75,PointSource,,0.005052
process(),76,PointSource,,0.00401
process(),77,PointSource,,0.004949
process(),78,PointSource,,0.005053
process(),79,PointSource,,0.00405
process(),80,PointSource,,0.003981
process(),81,PointSource,,0.005088
process(),82,PointSource,,0.004997
process(),83,PointSource,,0.004032
process(),84,PointSource,,0.004983
process(),85,PointSource,,0.004083
process(),86,PointSource,,0.005004
process(),87,PointSource,,0.004453
process(),88,PointSource,,0.00505
process(),89,PointSource,,0.004935
process(),90,PointSource,,0.005058
process(),91,PointSource,,0.004076
process(),92,PointSource,,0.004979
process(),93,PointSource,,0.004001
process(),94,PointSource,,0.004061
process(),95,PointSource,,0.003947
process(),96,PointSource,,0.005094
process(),97,PointSource,,0.005
process(),98,PointSource,,0.003984
process(),99,PointSource,,0.004999
process(),100,PointSource,,0.004065
process(),101,PointSource,,0.004969
process(),102,PointSource,,0.004039
process(),103,PointSource,,0.005051
process(),104,PointSource,,0.004
process(),105,PointSource,,0.005045
process(),106,PointSource,,0.005001
process(),107,PointSource,,0.004066
process(),108,PointSource,,0.004977
process(),109,PointSource,,0.0037
process(),110,PointSource,,0.004998
process(),111,PointSource,,0.004054
process(),112,PointSource,,0.005054
process(),113,PointSource,,0.004054
process(),114,PointSource,,0.004974
process(),115,PointSource,,0.00509
process(),116,PointSource,,0.004042
process(),117,PointSource,,0.003949
process(),118,PointSource,,0.005684
process(),119,PointSource,,0.003996
process(),120,PointSource,,0.005066
process(),121,PointSource,,0.005001
process(),122,PointSource,,0.005173
process(),123,PointSource,,0.004033
process(),124,PointSource,,0.005083
process(),125,PointSource,,0.004975
process(),126,PointSource,,0.004086
process(),127,PointSource,,0.005027
process(),128,PointSource,,0.00508
process(),129,PointSource,,0.004
process(),130,PointSource,,0.004
process(),131,PointSource,,0.005011
process(),132,PointSource,,0.005052
process(),133,PointSource,,0.004065
process(),134,PointSource,,0.004947
process(),135,PointSource,,0.005105
process(),136,PointSource,,0.00501
process(),137,PointSource,,0.004068
process(),138,PointSource,,0.005949
process(),139,PointSource,,0.005628
process(),140,PointSource,,0.004002
process(),141,PointSource,,0.006636
process(),142,PointSource,,0.005018
