stage,count,source_modules,dispersion modules,timestamp
process(),1,MovementSource,,0.565195
process(),2,MovementSource,,0.441003
process(),3,MovementSource,,0.436018
process(),4,MovementSource,,0.414811
process(),5,MovementSource,,0.057002
process(),6,MovementSource,,0.482
process(),7,MovementSource,,0.448998
process(),8,MovementSource,,0.482027
process(),9,MovementSource,,0.473999
process(),10,MovementSource,,0.479999
process(),11,MovementSource,,0.469013
process(),12,MovementSource,,0.510001
process(),13,MovementSource,,0.454012
process(),14,MovementSource,,0.457002
process(),15,MovementSource,,0.443032
process(),16,MovementSource,,0.482883
process(),17,MovementSource,,0.468947
process(),18,MovementSource,,0.436998
process(),19,MovementSource,,0.492039
process(),20,MovementSource,,0.057002
process(),21,MovementSource,,0.061999
process(),22,MovementSource,,0.057999
process(),23,MovementSource,,0.058002
process(),24,MovementSource,,0.057
process(),25,MovementSource,,0.427003
process(),26,MovementSource,,0.460028
process(),27,MovementSource,,0.564038
process(),28,MovementSource,,0.535994
process(),29,MovementSource,,0.509035
process(),30,MovementSource,,0.544997
process(),31,MovementSource,,0.664437
process(),32,MovementSource,,0.601053
process(),33,MovementSource,,0.673946
process(),34,MovementSource,,0.596012
process(),35,MovementSource,,0.550013
process(),36,MovementSource,,0.646011
process(),37,MovementSource,,0.546
process(),38,MovementSource,,0.549042
process(),39,MovementSource,,0.565001
process(),40,MovementSource,,0.613034
process(),41,MovementSource,,0.590882
process(),42,MovementSource,,0.516
process(),43,MovementSource,,0.482012
process(),44,MovementSource,,0.444826
process(),45,MovementSource,,0.058053
process(),46,MovementSource,,0.058
process(),47,MovementSource,,0.056998
process(),48,MovementSource,,0.059003
process(),49,MovementSource,,0.414984
process(),50,MovementSource,,0.501876
process(),51,MovementSource,,0.587997
process(),52,MovementSource,,0.544846
process(),53,MovementSource,,0.525016
process(),54,MovementSource,,0.578
process(),55,MovementSource,,0.646499
process(),56,MovementSource,,0.594004
process(),57,MovementSource,,0.676201
process(),58,MovementSource,,0.511866
process(),59,MovementSource,,0.49397
process(),60,MovementSource,,0.675999
process(),61,MovementSource,,0.544572
process(),62,MovementSource,,0.558853
process(),63,MovementSource,,0.519001
process(),64,MovementSource,,0.493114
process(),65,MovementSource,,0.469041
process(),66,MovementSource,,0.522864
process(),67,MovementSource,,0.449813
process(),68,MovementSource,,0.057011
process(),69,MovementSource,,0.452005
process(),70,MovementSource,,0.421979
process(),71,MovementSource,,0.057019
process(),72,MovementSource,,0.057
process(),73,MovementSource,,0.056997
process(),74,MovementSource,,0.44324
process(),75,MovementSource,,0.506983
process(),76,MovementSource,,0.515864
process(),77,MovementSource,,0.508001
process(),78,MovementSource,,0.475998
process(),79,MovementSource,,0.634867
process(),80,MovementSource,,0.656863
process(),81,MovementSource,,0.588001
process(),82,MovementSource,,0.565003
process(),83,MovementSource,,0.550996
process(),84,MovementSource,,0.641949
