stage,count,source_modules,dispersion modules,timestamp
process(),1,MovementSource,,0.119029
process(),2,MovementSource,,0.10102
process(),3,MovementSource,,0.101005
process(),4,MovementSource,,0.078983
process(),5,MovementSource,,0.012013
process(),6,MovementSource,,0.149245
process(),7,MovementSource,,0.120981
process(),8,MovementSource,,0.139022
process(),9,MovementSource,,0.138944
process(),10,MovementSource,,0.142056
process(),11,MovementSource,,0.123999
process(),12,MovementSource,,0.171999
process(),13,MovementSource,,0.119999
process(),14,MovementSource,,0.111001
process(),15,MovementSource,,0.083
process(),16,MovementSource,,0.152947
process(),17,MovementSource,,0.133196
process(),18,MovementSource,,0.098024
process(),19,MovementSource,,0.147978
process(),20,MovementSource,,0.011997
process(),21,MovementSource,,0.011007
process(),22,MovementSource,,0.011001
process(),23,MovementSource,,0.011016
process(),24,MovementSource,,0.012003
process(),25,MovementSource,,0.079
process(),26,MovementSource,,0.109998
process(),27,MovementSource,,0.217999
process(),28,MovementSource,,0.200001
process(),29,MovementSource,,0.166
process(),30,MovementSource,,0.208866
process(),31,MovementSource,,0.315
process(),32,MovementSource,,0.268004
process(),33,MovementSource,,0.341007
process(),34,MovementSource,,0.261054
process(),35,MovementSource,,0.206204
process(),36,MovementSource,,0.315
process(),37,MovementSource,,0.222948
process(),38,MovementSource,,0.217001
process(),39,MovementSource,,0.231
process(),40,MovementSource,,0.278
process(),41,MovementSource,,0.263044
process(),42,MovementSource,,0.189997
process(),43,MovementSource,,0.161999
process(),44,MovementSource,,0.117
process(),45,MovementSource,,0.011001
process(),46,MovementSource,,0.010999
process(),47,MovementSource,,0.012002
process(),48,MovementSource,,0.010999
process(),49,MovementSource,,0.077999
process(),50,MovementSource,,0.159
process(),51,MovementSource,,0.257001
process(),52,MovementSource,,0.207013
process(),53,MovementSource,,0.188001
process(),54,MovementSource,,0.238055
process(),55,MovementSource,,0.306945
process(),56,MovementSource,,0.265059
process(),57,MovementSource,,0.34412
process(),58,MovementSource,,0.178024
process(),59,MovementSource,,0.153975
process(),60,MovementSource,,0.325027
process(),61,MovementSource,,0.199999
process(),62,MovementSource,,0.228003
process(),63,MovementSource,,0.177997
process(),64,MovementSource,,0.158867
process(),65,MovementSource,,0.150001
process(),66,MovementSource,,0.189981
process(),67,MovementSource,,0.098967
process(),68,MovementSource,,0.011
process(),69,MovementSource,,0.113
process(),70,MovementSource,,0.086
process(),71,MovementSource,,0.011
process(),72,MovementSource,,0.010999
process(),73,MovementSource,,0.011002
process(),74,MovementSource,,0.108999
process(),75,MovementSource,,0.162
process(),76,MovementSource,,0.178033
process(),77,MovementSource,,0.174888
process(),78,MovementSource,,0.138007
