oid,engine_type,engine_full_name,engine_name,thrust,mode,fuel_kg_sec,co_ei,hc_ei,nox_ei,sox_ei,pm10_ei,p1_ei,p2_ei,smoke_number,smoke_number_maximum,fuel_type,manufacturer,source,remark,status,engine_name_type,coolant,combustion_technology,technology_age,pm10_prefoa3,pm10_nonvol,pm10_sul,pm10_organic,eng_type,bpr,nvpm_ei,nvpm_number_ei
1,J,TFE731-2-2B,1AS001,1.0,TO,0.205,1.394,0.114,15.25,1,489.6000000000001,,,,,ASTM D1655-73T,Allied Signal,EEDB,,Out of production,,,,,,,,,TF,2.64,,
2,J,TFE731-2-2B,1AS001,0.85,CL,0.173,2.03,0.128,13.08,1,489.6000000000001,,,,,ASTM D1655-73T,Allied Signal,EEDB,,Out of production,,,,,,,,,TF,2.64,,
3,J,TFE731-2-2B,1AS001,0.3,AP,0.067,22.38,4.26,5.9,1,489.6000000000001,,,,,ASTM D1655-73T,Allied Signal,EEDB,,Out of production,,,,,,,,,TF,2.64,,
4,J,TFE731-2-2B,1AS001,0.07,TX,0.024,58.6,20.04,2.82,1,489.6000000000001,,,,,ASTM D1655-73T,Allied Signal,EEDB,,Out of production,,,,,,,,,TF,2.64,,
5,J,TFE731-3,1AS002,1.0,TO,0.225,1.13,0.062,19.15,1,489.6000000000001,,,,,ASTM D1655-73T,Allied Signal,EEDB,,Out of production,,,,,,,,,TF,2.64,,
6,J,TFE731-3,1AS002,0.85,CL,0.186,1.62,0.072,16.02,1,489.6000000000001,,,,,ASTM D1655-73T,Allied Signal,EEDB,,Out of production,,,,,,,,,TF,2.64,,
7,J,TFE731-3,1AS002,0.3,AP,0.072,15.56,1.41,6.92,1,489.6000000000001,,,,,ASTM D1655-73T,Allied Signal,EEDB,,Out of production,,,,,,,,,TF,2.64,,
8,J,TFE731-3,1AS002,0.07,TX,0.026,47.7,9.04,3.72,1,489.6000000000001,,,,,ASTM D1655-73T,Allied Signal,EEDB,,Out of production,,,,,,,,,TF,2.64,,
9,J,AE3007A,4AL003,1.0,TO,0.377,0.75,0.25,20.54,1,489.6000000000001,21.61048,21.61048,1.0,1.0,Jet A/JP-8,Rolls-Royce Corporation,EEDB,,Out of production,,,,,,,,,MTF,5.23,21.58173,1088407679930240.5
10,J,AE3007A,4AL003,0.85,CL,0.315,0.92,0.29,17.47,1,489.6000000000001,21.60377,21.60377,0.0,1.0,Jet A/JP-8,Rolls-Royce Corporation,EEDB,,Out of production,,,,,,,,,MTF,5.23,21.58173,1088407679930240.5
11,J,AE3007A,4AL003,0.3,AP,0.117,3.28,0.64,7.79,1,489.6000000000001,21.61773,21.61773,0.0,1.0,Jet A/JP-8,Rolls-Royce Corporation,EEDB,,Out of production,,,,,,,,,MTF,5.23,21.58173,1088407679930240.5
12,J,AE3007A,4AL003,0.07,TX,0.049,17.35,2.51,3.83,1,489.6000000000001,21.5972167,21.5972167,0.0,1.0,Jet A/JP-8,Rolls-Royce Corporation,EEDB,,Out of production,,,,,,,,,MTF,5.23,21.58173,1088407679930240.5
13,J,AE3007C1,6AL004,1.0,TO,0.322,0.87,0.24,17.9,1,489.6000000000001,21.21002,21.21002,1.0,1.0,Jet A/JP-8,Rolls-Royce Corporation,EEDB,,Out of production,,,,,,,,,MTF,5.1,21.18242,1068269943747174.8
14,J,AE3007C1,6AL004,0.85,CL,0.269,1.07,0.28,15.35,1,489.6000000000001,21.2037,21.2037,0.0,1.0,Jet A/JP-8,Rolls-Royce Corporation,EEDB,,Out of production,,,,,,,,,MTF,5.1,21.18242,1068269943747174.8
15,J,AE3007C1,6AL004,0.3,AP,0.099,3.96,0.66,7.05,1,489.6000000000001,21.219545,21.219545,0.0,1.0,Jet A/JP-8,Rolls-Royce Corporation,EEDB,,Out of production,,,,,,,,,MTF,5.1,21.18242,1068269943747174.8
16,J,AE3007C1,6AL004,0.07,TX,0.042,26.04,4.84,3.37,1,489.6000000000001,21.2122828,21.2122828,0.0,1.0,Jet A/JP-8,Rolls-Royce Corporation,EEDB,,Out of production,,,,,,,,,MTF,5.1,21.18242,1068269943747174.8
17,J,AE3007A1,6AL005,1.0,TO,0.3826,0.77,0.221,19.66,1,489.6000000000001,15.140345,15.140345,1.0,1.0,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1Type 1,,,,,,,,MTF,4.77,15.11493,762274917042179.4
18,J,AE3007A1,6AL005,0.85,CL,0.318,0.96,0.257,16.63,1,489.6000000000001,15.134462,15.134462,0.01,1.0,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1Type 1,,,,,,,,MTF,4.77,15.11493,762274917042179.4
19,J,AE3007A1,6AL005,0.3,AP,0.113,3.91,0.655,7.1,1,489.6000000000001,15.151773749999998,15.151773749999998,0.01,1.0,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1Type 1,,,,,,,,MTF,4.77,15.11493,762274917042179.4
20,J,AE3007A1,6AL005,0.07,TX,0.0461,23.73,3.818,3.47,1,489.6000000000001,15.13848706,15.13848706,0.01,1.0,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1Type 1,,,,,,,,MTF,4.77,15.11493,762274917042179.4
21,J,AE3007A1,6AL006,1.0,TO,0.3826,0.12,0.0,22.41,1,489.6000000000001,15.11493,15.11493,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1Type 2,,,,,,,,MTF,4.77,15.11493,762274917042179.4
22,J,AE3007A1,6AL006,0.85,CL,0.318,0.01,0.0,19.58,1,489.6000000000001,15.11493,15.11493,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1Type 2,,,,,,,,MTF,4.77,15.11493,762274917042179.4
