oid,profile_id,arrival_departure,stage,point,weight_lbs,horizontal_feet,vertical_feet,tas_knots,weight_kgs,horizontal_metres,vertical_metres,tas_metres,power,mode,course
0,A320-232-U_APP,A,1,1,130954.50010981722,-149751.31,6000.0,278.35,59399.962066977256,-45644.199288,1828.8000000000002,143.19561111111113,533.14,AP,IMPACT trajectory
1,A320-232-U_APP,A,1,2,130954.50010981722,-113581.41,4231.0,271.09,59399.962066977256,-34619.613768,1289.6088,139.46074444444443,500.64,AP,IMPACT trajectory
2,A320-232-U_APP,A,1,3,130954.50010981722,-94074.1383069023,3276.9365977052025,267.09952952994496,59399.962066977256,-28673.79735594382,998.8102749805457,137.40786908040502,482.19704605643034,AP,IMPACT trajectory
3,A320-232-U_APP,A,1,4,130954.50010981722,-90471.1796127024,3100.7227691290486,266.355956017871,59399.962066977256,-27575.615545951692,945.1003000305341,137.02534181808252,478.7129345496379,AP,IMPACT trajectory
4,A320-232-U_APP,A,1,5,130954.50010981722,-88411.75,3000.0,265.93,59399.962066977256,-26947.901400000002,914.4000000000001,136.8062111111111,476.71,AP,IMPACT trajectory
5,A320-232-U_APP,A,1,6,130954.50010981722,-87411.75,3000.0,263.82,59399.962066977256,-26643.1014,914.4000000000001,135.72073333333333,450.59,AP,IMPACT trajectory
6,A320-232-U_APP,A,1,7,130954.50010981722,-86867.72981974077,3000.0,262.66767408487846,59399.962066977256,-26477.284049056987,914.4000000000001,135.1279256681097,450.59,AP,IMPACT trajectory
7,A320-232-U_APP,A,1,8,130954.50010981722,-83265.8657925666,3000.0,254.9069387106929,59399.962066977256,-25379.435893574304,914.4000000000001,131.13545847005645,450.59,AP,IMPACT trajectory
8,A320-232-U_APP,A,1,9,130954.50010981722,-80204.49,3000.0,248.12,59399.962066977256,-24446.328552000003,914.4000000000001,127.64395555555555,450.59,AP,IMPACT trajectory
9,A320-232-U_APP,A,1,10,130954.50010981722,-79661.63936978906,3000.0,246.89705531367275,59399.962066977256,-24280.867679911706,914.4000000000001,127.01481845581165,450.59,AP,IMPACT trajectory
10,A320-232-U_APP,A,1,11,130954.50010981722,-76061.21752503165,3000.0,238.6273709320291,59399.962066977256,-23183.459101629647,914.4000000000001,122.76052526836608,450.59,AP,IMPACT trajectory
11,A320-232-U_APP,A,1,12,130954.50010981722,-73439.26,3000.0,232.42,59399.962066977256,-22384.286448,914.4000000000001,119.56717777777777,450.59,AP,IMPACT trajectory
12,A320-232-U_APP,A,1,13,130954.50010981722,-72456.99110230007,3000.0,230.0528692419603,59399.962066977256,-22084.890887981062,914.4000000000001,118.3494205100307,450.59,AP,IMPACT trajectory
13,A320-232-U_APP,A,1,14,130954.50010981722,-68855.12707512591,3000.0,221.15619655958037,59399.962066977256,-20987.04273249838,914.4000000000001,113.77257667453968,450.59,AP,IMPACT trajectory
14,A320-232-U_APP,A,1,15,130954.50010981722,-67116.07,3000.0,216.73,59399.962066977256,-20456.978136,914.4000000000001,111.49554444444443,450.59,AP,IMPACT trajectory
15,A320-232-U_APP,A,1,16,130954.50010981722,-65251.68435642113,3000.0,211.878924289382,59399.962066977256,-19888.713391837162,914.4000000000001,108.99993549553763,450.59,AP,IMPACT trajectory
16,A320-232-U_APP,A,1,17,130954.50010981722,-61648.715700509594,3000.0,202.17454944087757,59399.962066977256,-18790.528545515324,914.4000000000001,104.00757376791812,450.59,AP,IMPACT trajectory
17,A320-232-U_APP,A,1,18,130954.50010981722,-61234.91,3000.0,201.03,59399.962066977256,-18664.400568,914.4000000000001,103.41876666666667,450.59,AP,IMPACT trajectory
18,A320-232-U_APP,A,1,19,130954.50010981722,-60234.91,3000.0,198.22,59399.962066977256,-18359.600568,914.4000000000001,101.97317777777778,417.9,AP,IMPACT trajectory
19,A320-232-U_APP,A,1,20,130954.50010981722,-57243.44,3000.0,189.58,59399.962066977256,-17447.800512,914.4000000000001,97.52837777777779,417.9,AP,IMPACT trajectory
20,A320-232-U_APP,A,1,21,130954.50010981722,-56243.44,2947.51,188.39,59399.962066977256,-17143.000512000002,898.4010480000001,96.91618888888888,235.08,AP,IMPACT trajectory
21,A320-232-U_APP,A,1,22,130954.50010981722,-46577.1,2440.94,176.62,59399.962066977256,-14196.70008,743.998512,90.86117777777777,230.29,AP,IMPACT trajectory
22,A320-232-U_APP,A,1,23,130954.50010981722,-45577.1,2388.45,173.81,59399.962066977256,-13891.90008,727.99956,89.41558888888889,306.54,AP,IMPACT trajectory
23,A320-232-U_APP,A,1,24,130954.50010981722,-41036.7,2150.59,160.42,59399.962066977256,-12507.98616,655.4998320000001,82.52717777777777,303.71,AP,IMPACT trajectory
24,A320-232-U_APP,A,1,25,130954.50010981722,-36872.05,1932.41,147.03,59399.962066977256,-11238.600840000001,588.9985680000001,75.63876666666667,300.87,AP,IMPACT trajectory
25,A320-232-U_APP,A,1,26,130954.50010981722,-35872.05,1879.92,146.06,59399.962066977256,-10933.800840000002,572.9996160000001,75.13975555555555,765.0,AP,IMPACT trajectory
26,A320-232-U_APP,A,1,27,130954.50010981722,-30467.85,1596.78,140.71,59399.962066977256,-9286.60068,486.698544,72.38747777777778,755.66,AP,IMPACT trajectory
27,A320-232-U_APP,A,1,28,130954.50010981722,-29470.11475162695,1544.4088768128986,140.60024921991004,59399.962066977256,-8982.490976295894,470.7358256525715,72.33101709868706,5005.541527249322,AP,IMPACT trajectory
28,A320-232-U_APP,A,1,29,130954.50010981722,-29467.85,1544.29,140.6,59399.962066977256,-8981.80068,470.699592,72.33088888888888,5011.09,AP,IMPACT trajectory
29,A320-232-U_APP,A,1,30,130954.50010981722,-18903.59,990.65,139.43,59399.962066977256,-5761.814232000001,301.95012,71.72898888888889,4911.33,AP,IMPACT trajectory
30,A320-232-U_APP,A,1,31,130954.50010981722,-12977.95,680.11,138.77,59399.962066977256,-3955.6791600000006,207.29752800000003,71.38945555555556,4854.48,AP,IMPACT trajectory
31,A320-232-U_APP,A,1,32,130954.50010981722,-8982.83,470.73,138.32,59399.962066977256,-2737.9665840000002,143.47850400000002,71.15795555555555,4815.77,AP,IMPACT trajectory
32,A320-232-U_APP,A,1,33,130954.50010981722,-6217.565090910681,325.8151859504132,138.0134164504905,59399.962066977256,-1895.1138397095756,99.30846867768595,71.00023535175234,4788.794159968337,AP,IMPACT trajectory
33,A320-232-U_APP,A,1,34,130954.50010981722,-6006.61,314.76,137.99,59399.962066977256,-1830.814728,95.93884800000001,70.98818888888889,4786.73,AP,IMPACT trajectory
34,A320-232-U_APP,A,1,35,130954.50010981722,-4016.605906667536,210.4663880597015,137.76231963749666,59399.962066977256,-1224.2614803522652,64.15015508059702,70.87105999128995,4767.212944952128,AP,IMPACT trajectory
35,A320-232-U_APP,A,1,36,130954.50010981722,-3647.08,191.1,137.72,59399.962066977256,-1111.629984,58.24728,70.84928888888889,4763.58,AP,IMPACT trajectory
36,A320-232-U_APP,A,1,37,130954.50010981722,-2214.49622186959,116.025,137.56119226248472,59399.962066977256,-674.9784484258511,35.36442,70.76759113058937,4749.4654932236435,AP,IMPACT trajectory
37,A320-232-U_APP,A,1,38,130954.50010981722,-1662.93,87.12,137.5,59399.962066977256,-506.86106400000006,26.554176000000002,70.73611111111111,4744.02,AP,IMPACT trajectory
38,A320-232-U_APP,A,1,39,130954.50010981722,-952.1,49.87,137.42,59399.962066977256,-290.20008,15.200376,70.69495555555555,4737.0,AP,IMPACT trajectory
39,A320-232-U_APP,A,1,40,130954.50010981722,0.0,0.0,134.77,59399.962066977256,0.0,0.0,69.33167777777778,4724.14,AP,IMPACT trajectory
40,A320-232-U_APP,A,1,41,130954.50010981722,304.13,0.0,131.8,59399.962066977256,92.698824,0.0,67.80377777777778,10000.0,AP,IMPACT trajectory
41,A320-232-U_APP,A,1,42,130954.50010981722,1318.41,0.0,114.42,59399.962066977256,401.85136800000004,0.0,58.86273333333333,8750.0,AP,IMPACT trajectory
42,A320-232-U_APP,A,1,43,130954.50010981722,2189.45,0.0,97.03,59399.962066977256,667.3443599999999,0.0,49.91654444444444,7500.0,AP,IMPACT trajectory
43,A320-232-U_APP,A,1,44,130954.50010981722,2917.24,0.0,79.64,59399.962066977256,889.174752,0.0,40.97035555555556,6250.0,AP,IMPACT trajectory
44,A320-232-U_APP,A,1,45,130954.50010981722,3501.78,0.0,62.26,59399.962066977256,1067.342544,0.0,32.029311111111106,5000.0,AP,IMPACT trajectory
45,A320-232-U_APP,A,1,46,130954.50010981722,3943.09,0.0,44.87,59399.962066977256,1201.853832,0.0,23.08312222222222,3750.0,AP,IMPACT trajectory
46,A320-232-U_APP,A,1,47,130954.50010981722,4241.14,0.0,27.48,59399.962066977256,1292.6994720000002,0.0,14.136933333333333,2500.0,AP,IMPACT trajectory
47,737400-U_DEP,D,2,1,121400.0001018049,0.0,0.0,0.02,55066.11376417793,0.0,0.0,0.010288888888888889,25000.0,TO,IMPACT trajectory
48,737400-U_DEP,D,2,2,121400.0001018049,69.33,0.0,18.4,55066.11376417793,21.131784,0.0,9.465777777777777,24548.19,TO,IMPACT trajectory
49,737400-U_DEP,D,2,3,121400.0001018049,277.03,0.0,36.78,55066.11376417793,84.438744,0.0,18.921266666666668,24096.38,TO,IMPACT trajectory
50,737400-U_DEP,D,2,4,121400.0001018049,623.11,0.0,55.16,55066.11376417793,189.92392800000002,0.0,28.376755555555555,23644.57,TO,IMPACT trajectory
51,737400-U_DEP,D,2,5,121400.0001018049,1107.55,0.0,73.54,55066.11376417793,337.58124,0.0,37.83224444444445,23192.76,TO,IMPACT trajectory
52,737400-U_DEP,D,2,6,121400.0001018049,1730.36,0.0,91.92,55066.11376417793,527.413728,0.0,47.287733333333335,22740.95,TO,IMPACT trajectory
53,737400-U_DEP,D,2,7,121400.0001018049,2491.54,0.0,110.3,55066.11376417793,759.4213920000001,0.0,56.74322222222222,22289.14,TO,IMPACT trajectory
54,737400-U_DEP,D,2,8,121400.0001018049,3391.1,0.0,128.68,55066.11376417793,1033.60728,0.0,66.19871111111111,21837.33,TO,IMPACT trajectory
55,737400-U_DEP,D,2,9,121400.0001018049,4429.02,0.0,147.06,55066.11376417793,1349.9652960000003,0.0,75.6542,21385.52,TO,IMPACT trajectory
56,737400-U_DEP,D,2,10,121400.0001018049,5605.31,0.0,165.44,55066.11376417793,1708.4984880000002,0.0,85.1096888888889,20933.71,TO,IMPACT trajectory
57,737400-U_DEP,D,2,11,121400.0001018049,5925.7,56.41,165.58,55066.11376417793,1806.15336,17.193768,85.18171111111111,20951.32,TO,IMPACT trajectory
58,737400-U_DEP,D,2,12,121400.0001018049,6308.1,123.75,165.75,55066.11376417793,1922.7088800000001,37.719,85.26916666666666,20972.32,TO,IMPACT trajectory
59,737400-U_DEP,D,2,13,121400.0001018049,6762.85,203.82,165.95,55066.11376417793,2061.3166800000004,62.124336,85.37205555555555,20997.27,TO,IMPACT trajectory
60,737400-U_DEP,D,2,14,121400.0001018049,7336.44,304.82,166.2,55066.11376417793,2236.146912,92.909136,85.50066666666666,21028.69,TO,IMPACT trajectory
61,737400-U_DEP,D,2,15,121400.0001018049,8106.41,440.4,166.54,55066.11376417793,2470.833768,134.23392,85.67557777777776,21070.8,TO,IMPACT trajectory
62,737400-U_DEP,D,2,16,121400.0001018049,9248.44,641.49,167.04,55066.11376417793,2818.9245120000005,195.52615200000002,85.93279999999999,21133.1,TO,IMPACT trajectory
63,737400-U_DEP,D,2,17,121400.0001018049,11284.45,1000.0,167.93,55066.11376417793,3439.5003600000005,304.8,86.39065555555555,21243.71,TO,IMPACT trajectory
64,737400-U_DEP,D,2,18,121400.0001018049,12138.869040924754,1043.1652499475183,171.439216395568,55066.11376417793,3699.927283673865,317.9567681840036,88.19595243460887,16654.24420457712,TO,IMPACT trajectory
65,737400-U_DEP,D,2,19,121400.0001018049,12284.45,1050.52,172.03,55066.11376417793,3744.3003600000006,320.19849600000003,88.49987777777778,15739.39,CL,IMPACT trajectory
66,737400-U_DEP,D,2,20,121400.0001018049,15741.82773522666,1225.4754925218992,185.562542692189,55066.11376417793,4798.109093697086,373.5249301206749,95.46161918498167,15761.56436797976,CL,IMPACT trajectory
67,737400-U_DEP,D,2,21,121400.0001018049,16376.26,1257.58,187.94,55066.11376417793,4991.484048,383.310384,96.68468888888889,15765.63,CL,IMPACT trajectory
68,737400-U_DEP,D,2,22,121400.0001018049,19345.270453978825,1407.8131876367747,198.6882621174149,55066.11376417793,5896.438434372746,429.101459591689,102.21407262262566,15783.128163586318,CL,IMPACT trajectory
69,737400-U_DEP,D,2,23,121400.0001018049,20829.78,1482.93,203.85,55066.11376417793,6348.916944,451.997064,104.8695,15791.87,CL,IMPACT trajectory
70,737400-U_DEP,D,2,24,121400.0001018049,22947.143544141403,1590.0697417936613,211.018782868712,55066.11376417793,6994.2893522543,484.65325729870796,108.5574405202374,15803.454706331808,CL,IMPACT trajectory
71,737400-U_DEP,D,2,25,121400.0001018049,25627.95,1725.72,219.76,55066.11376417793,7811.399160000001,525.999456,113.0543111111111,15818.11,CL,IMPACT trajectory
72,737400-U_DEP,D,2,26,121400.0001018049,26551.36996687691,1762.916715897411,223.55890123023775,55066.11376417793,8092.857565904083,537.3370150055309,115.00863474400009,15818.044916223633,CL,IMPACT trajectory
