oid,dynamics_id,dynamics_name,horizontal_extent_m,vertical_extent_m,exit_velocity_m_per_s,decay_time_s,horizontal_shift_m,vertical_shift_m,horizontal_extent_m_sas,vertical_extent_m_sas,vertical_shift_m_sas
1,1,JET SMALL TX,50,25.0,0,240,0,0,190,50.0,0
2,2,JET SMALL AP,50,25.0,0,240,0,-100,390,100.0,-138
3,3,JET SMALL TO,50,25.0,4,240,480,0,720,180.0,0
4,4,JET SMALL CL,50,25.0,4,240,480,-100,660,170.0,-173
5,5,JET MEDIUM TX,50,25.0,0,240,0,0,190,50.0,0
6,6,JET MEDIUM AP,50,25.0,0,240,0,-100,390,100.0,-138
7,7,JET MEDIUM TO,50,25.0,4,240,480,0,720,180.0,0
8,8,JET MEDIUM CL,50,25.0,4,240,480,-100,660,170.0,-173
9,9,JET LARGE TX,50,25.0,0,240,0,0,190,50.0,0
10,10,JET LARGE AP,50,25.0,0,240,0,-100,390,100.0,-138
11,11,JET LARGE TO,50,25.0,4,240,480,0,720,180.0,0
12,12,JET LARGE CL,50,25.0,4,240,480,-100,660,170.0,-173
13,13,JET BUSINESS TX,25,12.5,0,120,0,0,100,25.0,0
14,14,JET BUSINESS AP,25,12.5,0,120,0,-50,200,50.0,-69
15,15,JET BUSINESS TO,25,12.5,4,120,240,0,360,90.0,0
16,16,JET BUSINESS CL,25,12.5,4,120,240,-50,330,80.0,-84
17,17,JET REGIONAL TX,25,12.5,0,120,0,0,100,25.0,0
18,18,JET REGIONAL AP,25,12.5,0,120,0,-50,200,50.0,-69
19,19,JET REGIONAL TO,25,12.5,4,120,240,0,360,90.0,0
20,20,JET REGIONAL CL,25,12.5,4,120,240,-50,330,80.0,-84
21,21,PROPELLER TX,25,12.5,0,120,0,0,100,25.0,0
22,22,PROPELLER AP,25,12.5,0,120,0,-50,200,50.0,-69
23,23,PROPELLER TO,25,12.5,4,120,240,0,360,90.0,0
24,24,PROPELLER CL,25,12.5,4,120,240,-50,330,80.0,-84
25,25,TURBOPROP TX,25,12.5,0,120,0,0,100,25.0,0
26,26,TURBOPROP AP,25,12.5,0,120,0,-50,200,50.0,-69
27,27,TURBOPROP TO,25,12.5,4,120,240,0,360,90.0,0
28,28,TURBOPROP CL,25,12.5,4,120,240,-50,330,80.0,-84
29,29,HELI SMALL TX,25,12.5,0,0,0,0,25,12.5,0
30,30,HELI SMALL AP,25,12.5,0,0,0,-50,25,12.5,-50
31,31,HELI SMALL TO,25,12.5,0,0,0,0,25,12.5,0
32,32,HELI SMALL CL,25,12.5,0,0,0,-50,25,12.5,-50
33,33,HELI LARGE TX,25,12.5,0,0,0,0,25,12.5,0
34,34,HELI LARGE AP,25,12.5,0,0,0,-50,25,12.5,-50
35,35,HELI LARGE TO,25,12.5,0,0,0,0,25,12.5,0
36,36,HELI LARGE CL,25,12.5,0,0,0,-50,25,12.5,-50
37,37,GSE,0,0.0,0,0,0,0,0,0.0,0
38,38,APU,0,0.0,0,0,0,0,0,0.0,0
39,39,GPU,0,0.0,0,0,0,0,0,0.0,0
40,40,START_EMISSIONS,0,0.0,0,0,0,0,0,0.0,0
41,41,MOTOR,0,0.0,0,0,0,0,0,0.0,0
