oid,vehicle_type,class,legislation,a1,b1,c1,d1,e1,f1,g1,h1,corr1,a2,b2,c2,d2,e2,f2,g2,h2,corr2
1,PC,Gasoline <1.4l,Pre-ECE,0.0,0.0,0.0,281.0,-0.63,0.0,0,0,0.924,4.32,0.112,0.0,0,0,0,0,0,NULL
2,PC,Gasoline <1.4l,ECE 15/00-01,0.0,0.0,0.0,313.0,-0.76,0.0,0,0,0.898,27.22,-0.406,0.0032,0,0,0,0,0,0.152
3,PC,Gasoline <1.4l,ECE 15/02,0.0,0.0,0.0,300.0,-0.797,0.0,0,0,0.747,26.26,-0.44,0.0026,0,0,0,0,0,0.102
4,PC,Gasoline <1.4l,ECE 15/03,161.36,0.0,0.0,0.0,0.0,-45.62,0,0,0.79,37.92,-0.68,0.00377,0,0,0,0,0,0.247
5,PC,Gasoline <1.4l,ECE 15/04,0.0,0.0,0.0,260.788,-0.91,0.0,0,0,0.825,14.653,-0.22,0.00116386,0,0,0,0,0,0.613
6,PC,Gasoline <1.4l,Improved Conv,14.577,-0.294,0.002478,0.0,0.0,0.0,0,0,0.781,0.0,0.0,0.0,0,0,0,0,0,NULL
7,PC,Gasoline <1.4l,Open Loop,17.882,-0.377,0.002825,0.0,0.0,0.0,0,0,0.656,0.0,0.0,0.0,0,0,0,0,0,NULL
8,PC,Gasoline <1.4l,EURO I,9.846,-0.28677,0.0022,0.0,0.0,0.0,0,0,0.133,0.0,0.0,0.0,0,0,0,0,0,NULL
9,PC,Gasoline <1.4l,EURO II,6.6953,-0.195,0.0015,0.0,0.0,0.0,0,0,0.133,0.0,0.0,0.0,0,0,0,0,0,NULL
10,PC,Gasoline <1.4l,EURO III,5.5138,-0.1606,0.0012,0.0,0.0,0.0,0,0,0.133,0.0,0.0,0.0,0,0,0,0,0,NULL
11,PC,Gasoline <1.4l,EURO IV,3.3476,-0.0975,0.000748,0.0,0.0,0.0,0,0,0.133,0.0,0.0,0.0,0,0,0,0,0,NULL
12,PC,Gasoline 1.4-2.0l,Pre-ECE,0.0,0.0,0.0,281.0,-0.63,0.0,0,0,NULL,4.32,0.112,0.0,0,0,0,0,0,NULL
13,PC,Gasoline 1.4-2.0l,ECE 15/00-01,0.0,0.0,0.0,313.0,-0.76,0.0,0,0,NULL,27.22,-0.406,0.0032,0,0,0,0,0,NULL
14,PC,Gasoline 1.4-2.0l,ECE 15/02,0.0,0.0,0.0,300.0,-0.797,0.0,0,0,NULL,26.26,-0.44,0.0026,0,0,0,0,0,NULL
15,PC,Gasoline 1.4-2.0l,ECE 15/03,161.36,0.0,0.0,0.0,0.0,-45.62,0,0,NULL,37.92,-0.68,0.00377,0,0,0,0,0,NULL
16,PC,Gasoline 1.4-2.0l,ECE 15/04,0.0,0.0,0.0,260.788,-0.91,0.0,0,0,NULL,14.653,-0.22,0.00116386,0,0,0,0,0,NULL
17,PC,Gasoline 1.4-2.0l,Improved Conv,8.273,-0.1511,0.000957,0.0,0.0,0.0,0,0,0.767,0.0,0.0,0.0,0,0,0,0,0,NULL
18,PC,Gasoline 1.4-2.0l,Open Loop,9.446,-0.23012,0.002029,0.0,0.0,0.0,0,0,0.719,0.0,0.0,0.0,0,0,0,0,0,NULL
19,PC,Gasoline 1.4-2.0l,EURO I,9.617,-0.245,0.0017285,0.0,0.0,0.0,0,0,0.145,0.0,0.0,0.0,0,0,0,0,0,NULL
20,PC,Gasoline 1.4-2.0l,EURO II,6.5396,-0.1666,0.0012,0.0,0.0,0.0,0,0,NULL,0.0,0.0,0.0,0,0,0,0,0,NULL
21,PC,Gasoline 1.4-2.0l,EURO III,5.3855,-0.1372,0.00096796,0.0,0.0,0.0,0,0,NULL,0.0,0.0,0.0,0,0,0,0,0,NULL
22,PC,Gasoline 1.4-2.0l,EURO IV,3.2698,-0.0833,0.00058769,0.0,0.0,0.0,0,0,NULL,0.0,0.0,0.0,0,0,0,0,0,NULL
23,PC,Gasoline >2.0l,Pre-ECE,0.0,0.0,0.0,281.0,-0.63,0.0,0,0,NULL,4.32,0.112,0.0,0,0,0,0,0,NULL
24,PC,Gasoline >2.0l,ECE 15/00-01,0.0,0.0,0.0,313.0,-0.76,0.0,0,0,NULL,27.22,-0.406,0.0032,0,0,0,0,0,NULL
25,PC,Gasoline >2.0l,ECE 15/02,0.0,0.0,0.0,300.0,-0.797,0.0,0,0,NULL,26.26,-0.44,0.0026,0,0,0,0,0,NULL
26,PC,Gasoline >2.0l,ECE 15/03,161.36,0.0,0.0,0.0,0.0,-45.62,0,0,NULL,37.92,-0.68,0.00377,0,0,0,0,0,NULL
27,PC,Gasoline >2.0l,ECE 15/04,0.0,0.0,0.0,260.788,-0.91,0.0,0,0,NULL,14.653,-0.22,0.00116386,0,0,0,0,0,NULL
28,PC,Gasoline >2.0l,Improved Conv,0.0,0.0,0.0,0.0,0.0,0.0,0,0,NULL,0.0,0.0,0.0,0,0,0,0,0,NULL
29,PC,Gasoline >2.0l,Open Loop,0.0,0.0,0.0,0.0,0.0,0.0,0,0,NULL,0.0,0.0,0.0,0,0,0,0,0,NULL
30,PC,Gasoline >2.0l,EURO I,12.826,-0.2955,0.00177,0.0,0.0,0.0,0,0,0.159,0.0,0.0,0.0,0,0,0,0,0,NULL
