vehicle_category,euro_standard,country,fleet_year
Buses,Conventional,Albania,1990
Heavy Duty Trucks,Conventional,Albania,1990
Light Commercial Vehicles,Conventional,Albania,1990
Motorcycles,Conventional,Albania,1990
Passenger Cars,Conventional,Albania,1990
Buses,Conventional,Austria,1990
Heavy Duty Trucks,Conventional,Austria,1990
Light Commercial Vehicles,Conventional,Austria,1990
Motorcycles,Conventional,Austria,1990
Passenger Cars,Conventional,Austria,1990
Buses,Conventional,Belgium,1990
Heavy Duty Trucks,Conventional,Belgium,1990
Light Commercial Vehicles,Conventional,Belgium,1990
Motorcycles,Conventional,Belgium,1990
Passenger Cars,Conventional,Belgium,1990
Buses,Conventional,Bulgaria,1990
Heavy Duty Trucks,Conventional,Bulgaria,1990
Light Commercial Vehicles,Conventional,Bulgaria,1990
Motorcycles,Conventional,Bulgaria,1990
Passenger Cars,Conventional,Bulgaria,1990
Buses,Conventional,Croatia,1990
Heavy Duty Trucks,Conventional,Croatia,1990
Light Commercial Vehicles,Conventional,Croatia,1990
Motorcycles,Conventional,Croatia,1990
Passenger Cars,Conventional,Croatia,1990
Buses,Conventional,Cyprus,1990
Heavy Duty Trucks,Conventional,Cyprus,1990
Light Commercial Vehicles,Conventional,Cyprus,1990
Motorcycles,Conventional,Cyprus,1990
Passenger Cars,Conventional,Cyprus,1990
Buses,Conventional,Czech Republic,1990
Heavy Duty Trucks,Conventional,Czech Republic,1990
Light Commercial Vehicles,Conventional,Czech Republic,1990
Motorcycles,Conventional,Czech Republic,1990
Passenger Cars,Conventional,Czech Republic,1990
Buses,Conventional,Denmark,1990
Heavy Duty Trucks,Conventional,Denmark,1990
Light Commercial Vehicles,Conventional,Denmark,1990
Motorcycles,Conventional,Denmark,1990
Passenger Cars,Conventional,Denmark,1990
Buses,Conventional,EU27,1990
Heavy Duty Trucks,Conventional,EU27,1990
Light Commercial Vehicles,Conventional,EU27,1990
Motorcycles,Conventional,EU27,1990
Passenger Cars,Conventional,EU27,1990
Buses,Conventional,Estonia,1990
Heavy Duty Trucks,Conventional,Estonia,1990
Light Commercial Vehicles,Conventional,Estonia,1990
Motorcycles,Conventional,Estonia,1990
Passenger Cars,Conventional,Estonia,1990
Buses,Conventional,Finland,1990
Heavy Duty Trucks,Conventional,Finland,1990
Light Commercial Vehicles,Conventional,Finland,1990
Motorcycles,Conventional,Finland,1990
Passenger Cars,Conventional,Finland,1990
Buses,Conventional,France,1990
Heavy Duty Trucks,Conventional,France,1990
Light Commercial Vehicles,Conventional,France,1990
Motorcycles,Conventional,France,1990
Passenger Cars,Conventional,France,1990
Buses,Conventional,Germany,1990
Heavy Duty Trucks,Conventional,Germany,1990
Light Commercial Vehicles,Conventional,Germany,1990
Motorcycles,Conventional,Germany,1990
Passenger Cars,Conventional,Germany,1990
Buses,Conventional,Greece,1990
Heavy Duty Trucks,Conventional,Greece,1990
Light Commercial Vehicles,Conventional,Greece,1990
Motorcycles,Conventional,Greece,1990
Passenger Cars,Conventional,Greece,1990
Buses,Conventional,Hungary,1990
Heavy Duty Trucks,Conventional,Hungary,1990
Light Commercial Vehicles,Conventional,Hungary,1990
Motorcycles,Conventional,Hungary,1990
Passenger Cars,Conventional,Hungary,1990
Buses,Conventional,Iceland,1990
Heavy Duty Trucks,Conventional,Iceland,1990
Light Commercial Vehicles,Conventional,Iceland,1990
Motorcycles,Conventional,Iceland,1990
Passenger Cars,Conventional,Iceland,1990
Buses,Conventional,Ireland,1990
Heavy Duty Trucks,Conventional,Ireland,1990
Light Commercial Vehicles,Conventional,Ireland,1990
Motorcycles,Conventional,Ireland,1990
Passenger Cars,Conventional,Ireland,1990
Buses,Conventional,Italy,1990
Heavy Duty Trucks,Conventional,Italy,1990
Light Commercial Vehicles,Conventional,Italy,1990
Motorcycles,Conventional,Italy,1990
Passenger Cars,Conventional,Italy,1990
Buses,Conventional,Latvia,1990
Heavy Duty Trucks,Conventional,Latvia,1990
Light Commercial Vehicles,Conventional,Latvia,1990
Motorcycles,Conventional,Latvia,1990
Passenger Cars,Conventional,Latvia,1990
Buses,Conventional,Liechtenstein,1990
Heavy Duty Trucks,Conventional,Liechtenstein,1990
Light Commercial Vehicles,Conventional,Liechtenstein,1990
Motorcycles,Conventional,Liechtenstein,1990
Passenger Cars,Conventional,Liechtenstein,1990
