oid,vehicle_type,class,legislation,a1,b1,c1,d1,e1,f1,g1,h1,corr1,a2,b2,c2,d2,e2,f2,g2,h2,corr2
1,PC,Gasoline <1.4l,Pre-ECE,1.173,0.0225,-0.00014,0.0,0.0,0.0,0.0,0.0,0.916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
2,PC,Gasoline <1.4l,ECE 15/00-01,1.173,0.0225,-0.00014,0.0,0.0,0.0,0.0,0.0,0.916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
3,PC,Gasoline <1.4l,ECE 15/02,1.479,-0.0037,0.00018,0.0,0.0,0.0,0.0,0.0,0.711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
4,PC,Gasoline <1.4l,ECE 15/03,1.616,-0.0084,0.00025,0.0,0.0,0.0,0.0,0.0,0.844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
5,PC,Gasoline <1.4l,ECE 15/04,1.432,0.0026,9.7e-05,0.0,0.0,0.0,0.0,0.0,0.669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
6,PC,Gasoline <1.4l,Improved Conv,-0.926,0.0,0.0,0.0,0.0,0.719,0.0,0.0,0.883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
7,PC,Gasoline <1.4l,Open Loop,-0.921,0.0,0.0,0.0,0.0,0.616,0.0,0.0,0.791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
8,PC,Gasoline <1.4l,EURO I,0.5595,-0.01047,0.000108,0.0,0.0,0.0,0.0,0.0,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
9,PC,Gasoline <1.4l,EURO II,0.2014,-0.0038,3.888e-05,0.0,0.0,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
10,PC,Gasoline <1.4l,EURO III,0.1343,-0.0025,2.592e-05,0.0,0.0,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
11,PC,Gasoline <1.4l,EURO IV,0.0727,-0.0014,1.404e-05,0.0,0.0,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
12,PC,Gasoline 1.4-2.0l,Pre-ECE,1.36,0.0217,-4e-05,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
13,PC,Gasoline 1.4-2.0l,ECE 15/00-01,1.36,0.0217,-4e-05,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
14,PC,Gasoline 1.4-2.0l,ECE 15/02,1.663,-0.0038,0.0002,0.0,0.0,0.0,0.0,0.0,0.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
15,PC,Gasoline 1.4-2.0l,ECE 15/03,0.0,0.0,0.0,0.0,0.0,0.0,1.29,0.0099,0.798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
16,PC,Gasoline 1.4-2.0l,ECE 15/04,1.484,0.013,7.4e-05,0.0,0.0,0.0,0.0,0.0,0.722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
17,PC,Gasoline 1.4-2.0l,Improved Conv,1.387,-0.0014,0.000247,0.0,0.0,0.0,0.0,0.0,0.876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
18,PC,Gasoline 1.4-2.0l,Open Loop,-0.761,0.0,0.0,0.0,0.0,0.515,0.0,0.0,0.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
19,PC,Gasoline 1.4-2.0l,EURO I,0.526,-0.0085,8.54e-05,0.0,0.0,0.0,0.0,0.0,0.0772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
20,PC,Gasoline 1.4-2.0l,EURO II,0.1894,-0.0031,3.0744e-05,0.0,0.0,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
21,PC,Gasoline 1.4-2.0l,EURO III,0.1262,-0.002,2.0496e-05,0.0,0.0,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
22,PC,Gasoline 1.4-2.0l,EURO IV,0.0684,-0.0011,1.1102e-05,0.0,0.0,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
23,PC,Gasoline >2.0l,Pre-ECE,1.5,0.03,0.0001,0.0,0.0,0.0,0.0,0.0,0.972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
24,PC,Gasoline >2.0l,ECE 15/00-01,1.5,0.03,0.0001,0.0,0.0,0.0,0.0,0.0,0.972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
25,PC,Gasoline >2.0l,ECE 15/02,1.87,-0.0039,0.00022,0.0,0.0,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
26,PC,Gasoline >2.0l,ECE 15/03,2.784,-0.0112,0.000294,0.0,0.0,0.0,0.0,0.0,0.577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
27,PC,Gasoline >2.0l,ECE 15/04,2.427,-0.014,0.000266,0.0,0.0,0.0,0.0,0.0,0.803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
