oid;icao;ac_group_code;ac_group;manufacturer;name;class;mtow;engine_count;engine_name;engine;departure_profile;arrival_profile;bada_id;wake_category;apu_id
936;A124;JL;JET LARGE;ANTONOV;An-124 Ruslan;L4J/H;392000;4;CF6-50C2B;3GE078;74720B-D-1;74720B-A-1;A124;H;LNEW
937;A140;TP;TURBOPROP;ANTONOV;An-140;L2T/M;19150;2;PW127;PW127;HS748A-D-1;HS748A-A-1;A140;M;TPRP
938;A148;JM;JET MEDIUM;ANTONOV;An148;L2J/M;41549.06109;2;D-436-148 F2;13ZM004;EMB175-D-1;EMB175-A-1;A148;M;
939;A158;JM;JET MEDIUM;ANTONOV;An158;L2J/M;43680.94523;2;D-436-148 F2;13ZM004;HS748A-D-1;HS748A-A-1;A148;M;
940;A743;JR;JET MILITARY;ANTONOV;An-74-300;L2J/M;36000;2;D-36;1ZM001;HS748A-D-1;HS748A-A-1;A148;M;0
941;AN72;JR;JET REGIONAL;ANTONOV;An-72/74;L2J/M;35029;2;D-36;1ZM001;EMB170-D-1;EMB170-A-1;A148;M;REGJ
942;A19N;JM;JET MEDIUM;AIRBUS;A-319neo;L2J/M;75500;2;LEAP-1A26/26E1;17CM082;A319-131-D-1;A319-131-A-1;A20N;M;
943;A306;JM;JET MEDIUM;AIRBUS;A-300-600;L2J/H;169396;2;CF6-80C2A5;2GE039;A300-622R-D-1;A300-622R-A-1;A306;H;MIDR
944;A30B;JM;JET MEDIUM;AIRBUS;A-300-100/200;L2J/H;157460;2;CF6-50C2;3GE074;A300B4-203-D-1;A300B4-203-A-1;A30B;H;MIDR
945;A310;JM;JET MEDIUM;AIRBUS;A-310 (CC-150 Polaris);L2J/H;150494;2;CF6-80C2A8;2GE040;A310-304-D-1;A310-304-A-1;A310;H;MIDR
946;A318;JS;JET SMALL;AIRBUS;A-318;L2J/M;59714;2;CFM56-5B8/P;7CM048;A319-131-D-1;A319-131-A-1;A318;M;SNEW
947;A319;JS;JET SMALL;AIRBUS;A-319;L2J/M;65576;2;CFM56-5B5/P;3CM027;A319-131-D-1;A319-131-A-1;A319;M;SNEW
948;BCS1;JM;JET MEDIUM;BOMBARDIER;BD500CSeriesCS100;L2J/M;58513.41573;2;PW1521G;16PW112;A320-211-D-1;A320-211-A-1;A319;M;
949;BCS3;JM;JET MEDIUM;BOMBARDIER;BD500CSeriesCS300;L2J/M;65317.30128;2;PW1521G;16PW112;A320-211-D-1;A320-211-A-1;A319;M;
950;A320;JS;JET SMALL;AIRBUS;A-320;L2J/M;74284;2;V2527-A5;1IA003;A320-211-D-1;A320-211-A-1;A320;M;SNEW
951;A321;JS;JET SMALL;AIRBUS;A-321;L2J/M;87530;2;V2533-A5;3IA008;A321-232-D-1;A321-232-A-1;A321;M;SNEW
952;KC39;JM;JET MEDIUM;EMBRAER;KC-390;L2J/M;64999.78662;2;V2531-E5 ;14IA018;A320-211-D-1;A320-211-A-1;A321;M;
953;A332;JM;JET MEDIUM;AIRBUS;A-330-200;L2J/H;230544;2;Trent 772;14RR071;A330-301-D-1;A330-301-A-1;A332;H;MIDR
954;A333;JM;JET MEDIUM;AIRBUS;A-330-300;L2J/H;222432;2;Trent 772;14RR071;A330-301-D-1;A330-301-A-1;A333;H;MIDR
