country,age
Albania,11.8
Austria,8.5
Belgium,9.2
Bulgaria,11.8
Croatia,14.8
Cyprus,11.8
Czech Republic,15.3
Denmark,8.9
EU27,11.8
Estonia,16.7
Finland,12.5
France,10.3
Germany,9.8
Greece,16.6
Hungary,14.2
Iceland,12.0
Ireland,8.6
Italy,11.8
Latvia,14.3
Liechtenstein,11.8
Lithuania,17.0
Luxembourg,6.7
Malta,11.8
Montenegro,11.8
Netherlands,11.2
North Macedonia,11.8
Norway,10.7
Poland,14.3
Portugal,13.2
Romania,16.9
Serbia,11.8
Slovenia,12.0
Spain,13.1
Sweden,10.2
Switzerland,9.0
Turkey,11.8
United Kingdom,9.4
EU28,11.8
