ACR,ACFT_ID,ENGINE,%,MOST_FREQ
A1,A1-A,FOCA-4,100,*
A109,A109-A,FOI-88,100,*
A119,A119-A,FOI-54,100,*
A124,A124-A,1RR005,100,*
A139,A139-A,FOCA-11,100,*
A140,A140-A,FOI-77,100,*
A148,A148-A,13ZM003,100,*
A149,A149-A,FOI-65,100,*
A158,A158-A,13ZM004,100,*
A169,A169-A,FOI-52,100,*
A178,A178-A,13ZM003,100,*
A189,A189-A,FOI-65,100,*
A19N,A19N-A,01P20CM128,100,*
A205,A205-A,FOCA-2,100,*
A20N,A20N-A,01P20CM128,71.51,*
A20N,A20N-B,01P18PW153,27.68,
A20N,A20N-C,01P20CM127,0.8,
A20N,A20N-D,01P18PW150,0,
A21,A21-A,FOCA-9,100,*
A210,A210-A,FOCA-11,100,*
A21N,A21N-A,01P18PW157,54.79,*
A21N,A21N-B,01P20CM132,45.19,
A21N,A21N-C,01P18PW155,0.02,
A22,A22-A,FOCA-9,100,*
A225,A225-A,1RR005,100,*
A23,A23-A,FOCA-9,100,*
A270,A270-A,FOI-41,100,*
A3,A3-A,1RR018,100,*
A306,A306-A,1PW048,54.6,*
A306,A306-B,2GE039,30.42,
A306,A306-C,2GE038,12.79,
A306,A306-D,3GE056,2.09,
A306,A306-E,1PW030,0.1,
A306,A306-F,2GE036,0,
A30B,A30B-A,3GE074,99.96,*
A30B,A30B-B,3GE070,0.04,
A310,A310-A,2GE037,64.35,*
A310,A310-B,2GE040,21.2,
A310,A310-C,1PW045,7.09,
A310,A310-D,1PW047,5.21,
A310,A310-E,1PW027,1.12,
A310,A310-F,1GE013,0.89,
A310,A310-G,1PW026,0.14,
A318,A318-A,7CM048,99.89,*
A318,A318-B,7PW083,0.1,
A318,A318-C,7PW084,0.01,
A319,A319-A,3CM027,52.01,*
A319,A319-B,3CM028,16.94,
A319,A319-C,01P10IA020,11.85,
A319,A319-D,4CM036,8.14,
A319,A319-E,01P10IA019,6.96,
A319,A319-F,4CM035,1.91,
A319,A319-G,6CM044,1.43,
A319,A319-H,01P08CM106,0.56,
A319,A319-I,01P10IA021,0.08,
A319,A319-J,8IA009,0.08,
A319,A319-K,01P08CM108,0.02,
A319,A319-L,3CM022,0,
A320,A320-A,3CM026,42.73,*
A320,A320-B,01P10IA021,23.64,
A320,A320-C,3CM021,10.34,
A320,A320-D,1CM008,10.28,
A320,A320-E,3CM028,6.62,
A320,A320-F,2CM018,2.14,
A320,A320-G,1CM009,2.04,
A320,A320-H,8IA010,1.17,
A320,A320-I,1IA001,1.01,
A320,A320-J,01P08CM105,0.05,
A321,A321-A,01P10IA025,46.78,*
A321,A321-B,3CM025,26.56,
A321,A321-C,01P10IA024,10.84,
A321,A321-D,2CM013,5.5,
A321,A321-E,2CM012,5.46,
A321,A321-F,01P08CM104,3.83,
A321,A321-G,3CM020,1.01,
A321,A321-H,3CM026,0.02,
A33,A33-A,FOCA-11,100,*
A332,A332-A,01P14RR102,38.67,*
A332,A332-B,5GE085,28.83,
A332,A332-C,7PW082,24.67,
A332,A332-D,4GE081,4.28,
A332,A332-E,2GE051,3.54,
A333,A333-A,01P14RR102,61.71,*
A333,A333-B,7PW082,21.3,
A333,A333-C,2GE051,12.67,
A333,A333-D,5PW075,3.4,
A333,A333-E,9PW093,0.91,
A333,A333-F,01P14RR101,0.01,
A333,A333-G,7PW081,0,
A337,A337-A,01P14RR102,100,*
A338,A338-A,01P19RR119,100,*
A339,A339-A,01P19RR119,100,*
A342,A342-A,1CM010,95.41,*
A342,A342-B,1CM011,4.59,
A343,A343-A,2CM015,72.71,*
A343,A343-B,1CM010,10.52,
A343,A343-C,7CM047,9.31,
A343,A343-D,1CM011,4.67,
A343,A343-E,7CM046,2.8,
A345,A345-A,8RR044,79.43,*
A345,A345-B,8RR045,20.57,
A346,A346-A,8RR045,97.16,*
A346,A346-B,8RR044,2.84,
A359,A359-A,01P18RR124,100,*
A35K,A35K-A,01P21RR124,100,*
A37,A37-A,1PW037,100,*
A388,A388-A,01P18RR103,55.04,*
A388,A388-B,9EA001,44.96,
A3ST,A3ST-A,2GE040,100,*
A4,A4-A,1GE034,100,*
A400,A400-A,FOI-85,100,*
A5,A5-A,FOCA-11,100,*
A50,A50-A,1AA002,100,*
A660,A660-A,FOI-95,100,*
A743,A743-A,1ZM001,100,*
A748,A748-A,FOI-9,99.63,*
A748,A748-B,FOI-8,0.37,
AA1,AA1-A,FOCA-5,100,*
AA5,AA5-A,FOCA-7,100,*
AC10,AC10-A,FOCA-12,100,*
AC11,AC11-A,FOCA-3,100,*
AC50,AC50-A,FOCA-18,87.29,*
AC50,AC50-B,FOCA-3,11.86,
AC50,AC50-C,FOCA-8,0.85,
AC56,AC56-A,FOCA-18,100,*
AC5A,AC5A-A,FOCA-14,100,*
AC68,AC68-A,FOCA-19,100,*
AC6L,AC6L-A,FOCA-16,75.58,*
AC6L,AC6L-B,FOCA-3,24.42,
AC72,AC72-A,FOCA-14,100,*
AC80,AC80-A,FOI-113,100,*
AC90,AC90-A,FOI-115,100,*
AC95,AC95-A,FOI-103,100,*
AE45,AE45-A,FOCA-14,100,*
AEST,AEST-A,FOCA-3,73.23,*
AEST,AEST-B,FOCA-14,26.77,
AJ27,AJ27-A,11GE144,100,*
AN12,AN12-A,FOI-5,99.99,*
AN12,AN12-B,FOI-4,0.01,
AN2,AN2-A,FOCA-20,100,*
AN22,AN22-A,FOI-85,100,*
AN24,AN24-A,FOI-5,100,*
AN26,AN26-A,FOI-5,100,*
AN28,AN28-A,FOI-39,100,*
