runway_time;block_time;aircraft_registration;aircraft;gate;departure_arrival;runway;engine_name;prof_id;track_id;taxi_route;tow_ratio;apu_code;taxi_engine_count;set_time_of_main_engine_start_after_block_off_in_s;set_time_of_main_engine_start_before_takeoff_in_s;set_time_of_main_engine_off_after_runway_exit_in_s;engine_thrust_level_for_taxiing;taxi_fuel_ratio;number_of_stop_and_gos;domestic
2015-01-01 05:18:00;2015-01-01 05:23:00;;B744;T01_T19;A;24;1PW042;747400-A-1;;;1;;1;;;;0.07;1;;Y
2015-01-01 06:27:00;2015-01-01 06:31:30;;MD11;T01_T19;A;24;1PW059;MD11GE-A-1;;;1;;1;;;;0.07;1;;Y
2015-01-01 07:20:00;2015-01-01 07:25:00;;MD11;T01_T19;A;24;1PW059;MD11GE-A-1;;;1;;1;;;;0.07;1;;Y
2015-01-01 08:17:00;2015-01-01 08:08:30;;MD11;T01_T19;D;24;1PW059;MD11GE-D-7;;;1;;1;;;;0.07;1;;Y
2015-01-01 09:21:38;2015-01-01 09:25:21;;T154;T01_T19;A;24;1KK002;727D17-A-1;;;1;;1;;;;0.07;1;;Y
2015-01-01 09:39:00;2015-01-01 09:27:00;;MD11;T01_T19;D;24;1PW059;MD11GE-D-7;;;1;;1;;;;0.07;1;;Y
2015-01-01 10:30:16;2015-01-01 10:34:18;;E145;T01_T19;A;24;6AL006;CL601-A-1;;;1;;1;;;;0.07;1;;Y
2015-01-01 10:44:08;2015-01-01 10:38:40;;T154;T01_T19;D;24;1KK002;727D17-D-3;;;1;;1;;;;0.07;1;;Y
2015-01-01 11:02:29;2015-01-01 11:07:12;;A319;T20_T29;A;24;3CM028;A319-A-1;;;1;;1;;;;0.07;1;;Y
2015-01-01 11:52:00;2015-01-01 11:43:30;;MD11;T01_T19;D;24;1PW059;MD11GE-D-7;;;1;;1;;;;0.07;1;;Y
2015-01-01 12:02:15;2015-01-01 11:46:07;;B734;T20_T29;D;24;1CM007;737400-D-3;;;1;;1;;;;0.07;1;;Y
2015-01-01 12:08:42;2015-01-01 11:50:54;;A319;T20_T29;D;24;3CM028;A319-D-3;;;1;;1;;;;0.07;1;;Y
2015-01-01 12:37:00;2015-01-01 12:27:00;;MD11;T20_T29;D;24;1PW059;MD11GE-D-7;;;1;;1;;;;0.07;1;;Y
2015-01-01 13:01:14;2015-01-01 13:04:17;;AT45;T01_T19;A;24;T794;DHC8-A-1;;;1;;1;;;;0.07;1;;Y
2015-01-01 13:25:00;2015-01-01 13:16:30;;B744;T01_T19;D;24;1PW042;747400-D-7;;;1;;1;;;;0.07;1;;Y
2015-01-01 13:46:00;2015-01-01 13:51:00;;MD11;T01_T19;A;24;1PW052;MD11GE-A-1;;;1;;1;;;;0.07;1;;Y
2015-01-01 14:04:41;2015-01-01 14:09:18;;A319;T20_T29;A;24;3CM028;A319-A-1;;;1;;1;;;;0.07;1;;Y
2015-01-01 14:31:18;2015-01-01 14:36:30;;B735;T20_T29;A;24;1CM007;737500-A-1;;;1;;1;;;;0.07;1;;Y
2015-01-01 14:54:29;2015-01-01 14:57:59;;A319;T20_T29;A;24;3CM028;A319-A-1;;;1;;1;;;;0.07;1;;Y
2015-01-01 15:17:01;2015-01-01 15:20:35;;CRJ1;T01_T19;A;24;1GE035;CL601-A-1;;;1;;1;;;;0.07;1;;Y
2015-01-01 15:30:33;2015-01-01 15:17:11;;E145;T01_T19;D;24;6AL006;CL601-D-1;;;1;;1;;;;0.07;1;;Y
2015-01-01 15:45:00;2015-01-01 15:50:00;;MD11;T01_T19;A;24;1PW059;MD11GE-A-1;;;1;;1;;;;0.07;1;;Y
2015-01-01 16:07:45;2015-01-01 15:49:12;;CRJ1;T01_T19;D;24;1GE035;CL601-D-1;;;1;;1;;;;0.07;1;;Y
2015-01-01 16:25:48;2015-01-01 16:29:06;;E145;T01_T19;A;24;6AL006;CL601-A-1;;;1;;1;;;;0.07;1;;Y
2015-01-01 16:31:22;2015-01-01 16:09:26;;A319;T20_T29;D;24;3CM028;A319-D-3;;;1;;1;;;;0.07;1;;Y
2015-01-01 17:20:16;2015-01-01 17:04:00;;E145;T01_T19;D;24;6AL006;CL601-D-1;;;1;;1;;;;0.07;1;;Y
2015-01-01 17:41:56;2015-01-01 17:44:50;;E145;T01_T19;A;24;6AL006;CL601-A-1;;;1;;1;;;;0.07;1;;Y
2015-01-01 18:21:25;2015-01-01 18:12:04;;CRJ2;T01_T19;D;24;5GE084;CL601-D-1;;;1;;1;;;;0.07;1;;Y
2015-01-01 19:00:34;2015-01-01 18:41:15;;B735;T20_T29;D;24;1CM007;737500-D-3;;;1;;1;;;;0.07;1;;Y
2015-01-01 19:19:08;2015-01-01 19:23:20;;AT45;T01_T19;A;24;T794;DHC8-A-1;;;1;;1;;;;0.07;1;;Y
2015-01-01 19:40:19;2015-01-01 19:23:54;;E145;T01_T19;D;24;6AL006;CL601-D-1;;;1;;1;;;;0.07;1;;Y
2015-01-01 20:29:46;2015-01-01 20:34:31;;B734;T20_T29;A;24;1CM007;737400-A-1;;;1;;1;;;;0.07;1;;Y
2015-01-01 21:39:47;2015-01-01 21:43:22;;E145;R01_R12;A;24;6AL006;CL601-A-1;;;1;;1;;;;0.07;1;;Y
2015-01-01 22:02:42;2015-01-01 21:41:40;;AT45;T01_T19;D;24;T794;DHC8-D-1;;;1;;1;;;;0.07;1;;Y
