stage,category,power_range,valid_as_of,CO_g_per_kWh,HC_g_per_kWh,NOx_g_per_kWh,PM_g_per_kWh,SOx_g_per_kWh
Stage I,A,130 <= P <= 560,01/01/99,5.0,1.3,9.2,0.54,0.1
Stage I,B,75 <= P < 130,01/01/99,5.0,1.3,9.2,0.7,0.1
Stage I,C,0 <= P < 75,01/04/99,6.5,1.3,9.2,0.85,0.1
Stage II,E,130 <= P <= 560,01/01/02,3.5,1.0,6.0,0.2,0.1
Stage II,F,75 <= P < 130,01/01/03,5.0,1.0,6.0,0.3,0.1
Stage II,G,37 <= P < 75,01/01/04,5.0,1.3,7.0,0.4,0.1
Stage II,D,18 <= P < 37,01/01/01,5.5,1.5,8.0,0.8,0.1
Stage IIIA,H,130 <= P <= 560,01/01/06,3.5,2.0,2.0,0.2,0.1
Stage IIIA,I,75 <= P < 130,01/01/07,5.0,2.0,2.0,0.3,0.1
Stage IIIA,J,37 <= P < 75,01/01/08,5.0,2.0,2.0,0.4,0.1
Stage IIIA,K,19 <= P < 37,01/01/07,5.5,2.0,2.0,0.6,0.1
Stage IIIB,L,130 <= P <= 560,01/01/11,3.5,0.19,2.0,0.025,0.1
Stage IIIB,M,75 <= P < 130,01/01/12,5.0,0.19,3.3,0.025,0.1
Stage IIIB,N,56 <= P < 75,01/01/12,5.0,0.19,3.3,0.025,0.1
Stage IIIB,P,37 <= P < 56,01/01/13,5.0,2.0,2.0,0.025,0.1
Stage IV,Q,130 <= P <= 560,01/01/14,3.5,0.19,0.4,0.025,0.1
Stage IV,R,56 <= P < 130,01/01/14,5.0,0.19,0.4,0.025,0.1
