oid,icao,ac_group_code,ac_group,manufacturer,name,class,mtow,engine_count,engine_name,engine,departure_profile,arrival_profile,bada_id,wake_category,apu_id
1,A1,PP,PROPELLER,DOUGLAS,AD Skyraider,L1P/M,,1,PF01,PF01,PISTON-D-1,PISTON-A-1,P38,M,
2,A10,JM,JET MEDIUM,FAIRCHILD (1),A-10 Thunderbolt 2,L2J/M,,2,07P05GE220,07P05GE220,JET-MEDIUM-D-1,JET-MEDIUM-A-1,A10,M,
3,A124,JL,JET LARGE,ANTONOV,An-124 Ruslan,L4J/H,405000,4,1ZM001,1ZM001,JET-LARGE-D-7,JET-LARGE-A-1,A124,H,
4,A140,TP,TURBOPROP,ANTONOV,An-140,L2T/M,21500,2,13ZM004,13ZM004,TURBOPROP-D-6,TURBOPROP-A-1,A140,M,
5,A148,JR,JET REGIONAL,ANTONOV,An-148,L2J/M,39500,2,13ZM004,13ZM004,JET-REGIONAL-D-2,JET-REGIONAL-A-1,A148,M,TSCP 700 (142 HP)
6,A158,JM,JET MEDIUM,ANTONOV,An-158,L2J/M,43700,2,D-436-148 F2,13ZM004,JET-MEDIUM-D-2,JET-MEDIUM-A-1,A158,M,PW901A
7,A178,JM,JET MEDIUM,ANTONOV,An-178,L2J/M,52400,2,D-436-148 F1,13ZM003,JET-MEDIUM-D-3,JET-MEDIUM-A-1,E190,M,PW901A
8,A19N,JS,JET SMALL,AIRBUS,A-319neo,L2J/M,75500,2,LEAP-1A26/26E1,01P20CM128,JET-SMALL-D-4,JET-SMALL-A-1,A20N,M,131-9
9,A205,PP,PROPELLER,OSKBES-MAI,MAI-205,G1P/L,,1,PF03,PF03,PISTON-D-1,PISTON-A-1,P28U,L,
10,A20N,JS,JET SMALL,AIRBUS,A-320neo,L2J/M,79000,2,LEAP-1A26/26E1,01P20CM128,JET-SMALL-D-4,JET-SMALL-A-1,A20N,M,131-9
11,A21,PP,PROPELLER,AEROPRACT,A-21 Solo,L1P/L,,1,PF09,PF09,PISTON-D-1,PISTON-A-1,EV97,L,
12,A210,PP,PROPELLER,AQUILA,AT-01,L1P/L,700,1,PF05,PF05,PISTON-D-1,PISTON-A-1,C162,L,
13,A21N,JS,JET SMALL,AIRBUS,A-321neo,L2J/M,97000,2,01P20CM132,01P20CM132,JET-SMALL-D-6,JET-SMALL-A-1,A21N,M,131-9
14,A22,PP,PROPELLER,SADLER,A-22 Piranha,L1P/L,,1,PF09,PF09,PISTON-D-1,PISTON-A-1,DR40,L,
15,A225,JL,JET LARGE,ANTONOV,An-225 Mriya,L6J/H,600000,6,1ZM001,1ZM001,JET-LARGE-D-7,JET-LARGE-A-1,A124,H,
16,A23,PP,PROPELLER,AEROPRACT,A-23 Dragon,L1P/L,,1,PF09,PF09,PISTON-D-1,PISTON-A-1,SVNH,L,
17,A270,TP,TURBOPROP,AERO,Ae-270 Propjet,L1T/L,3300,1,B004,B004,TURBOPROP-D-1,TURBOPROP-A-1,F406,L,
18,A3,JM,JET MEDIUM,DOUGLAS,A-3 Skywarrior,L2J/M,,2,1RR017,1RR017,JET-MEDIUM-D-1,JET-MEDIUM-A-1,A10,M,
19,A306,JM,JET MEDIUM,AIRBUS,A-300B4-600,L2J/H,165000,2,2GE036,2GE036,JET-MEDIUM-D-6,JET-MEDIUM-A-1,A306,H,GTCP331-200ER (143 HP)
20,A30B,JM,JET MEDIUM,AIRBUS,A-300B2,L2J/H,165000,2,3GE070,3GE070,JET-MEDIUM-D-6,JET-MEDIUM-A-1,A30B,H,GTCP331-200ER (143 HP)
21,A310,JM,JET MEDIUM,AIRBUS,A-310,L2J/H,164000,2,1GE013,1GE013,JET-MEDIUM-D-6,JET-MEDIUM-A-1,A310,H,GTCP331-200ER (143 HP)
22,A318,JS,JET SMALL,AIRBUS,A-318,L2J/M,66000,2,CFM56-5B8/P,7CM048,JET-SMALL-D-3,JET-SMALL-A-1,A318,M,GTCP 36-300 (80HP)
