oid,engine_type,engine_full_name,engine_name,thrust,mode,fuel_kg_sec,co_ei,hc_ei,nox_ei,sox_ei,pm10_ei,p1_ei,p2_ei,smoke_number,smoke_number_maximum,fuel_type,manufacturer,source,remark,status,engine_name_type,coolant,combustion_technology,technology_age,pm10_nonvol,pm10_sul,pm10_organic,eng_type,bpr,nvpm_ei,nvpm_number_ei,press_ratio,meem_nvpm_m_i_f00_avg,meem_nvpm_n_i_f00_avg,nvpm_m_max_mgkg,nvpm_n_max_nkg
1,J,1AS001,1AS001,1.0,TO,0.205,1.3940000000000003,0.114,15.250000000000002,0.0,0.1643321951219512,0.1643321951219512,0.1643321951219512,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.1022624390243902,0.04896,0.01311,J,,0.1022624390243902,132155000000000.0,,,,,
2,J,1AS001,1AS001,0.85,CL,0.173,2.03,0.128,13.08,0.0,0.1581653179190751,0.1581653179190751,0.1581653179190751,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0994774566473988,0.04896,0.0097279768786127,J,,0.0994774566473988,108489000000000.0,,,,,
3,J,1AS001,1AS001,0.3,AP,0.067,22.379999999999995,4.26,5.9,0.0,0.3582850746268657,0.3582850746268657,0.3582850746268657,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0696994029850746,0.0489599999999999,0.2396253731343283,J,,0.0696994029850746,235510000000000.0,,,,,
4,J,1AS001,1AS001,0.07,TX,0.024,58.6,20.04,2.82,0.0,0.26139375,0.26139375,0.26139375,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0887866666666666,0.04896,0.1236466666666666,J,,0.0887866666666666,107464000000000.0,,,,,
5,J,1AS002,1AS002,1.0,TO,0.225,1.13,0.062,19.15,0.0,0.1583524444444444,0.1583524444444444,0.1583524444444444,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.1022622222222222,0.0489599999999999,0.0071299999999999,J,,0.1022622222222222,145049000000000.0,,,,,
6,J,1AS002,1AS002,0.85,CL,0.186,1.62,0.072,16.02,0.0,0.1539096774193548,0.1539096774193548,0.1539096774193548,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0994774193548387,0.04896,0.0054719892473118,J,,0.0994774193548387,116642000000000.0,,,,,
7,J,1AS002,1AS002,0.3,AP,0.072,15.56,1.41,6.92,0.0,0.1979722222222222,0.1979722222222222,0.1979722222222222,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0696994444444444,0.04896,0.0793125,J,,0.0696994444444444,253086000000000.0,,,,,
8,J,1AS002,1AS002,0.07,TX,0.026,47.7,9.04,3.72,0.0,0.1935234615384615,0.1935234615384615,0.1935234615384615,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.088786923076923,0.04896,0.055776923076923,J,,0.088786923076923,116420000000000.0,,,,,
9,J,4AL003,4AL003,1.0,TO,0.377,0.75,0.25,20.54,0.0,0.0961530503978779,0.0961530503978779,0.0961530503978779,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0184431034482758,0.0489599469496021,0.0287501326259946,J,,0.0184431034482758,43831900000000.0,,,,,
10,J,4AL003,4AL003,0.85,CL,0.315,0.92,0.29,17.47,0.0,0.0899206349206349,0.0899206349206349,0.0899206349206349,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0189206031746031,0.04896,0.02204,J,,0.0189206031746031,37571700000000.0,,,,,
11,J,4AL003,4AL003,0.3,AP,0.117,3.28,0.6399999999999999,7.789999999999999,0.0,0.1018658119658119,0.1018658119658119,0.1018658119658119,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0169058974358974,0.04896,0.036,J,,0.0169058974358974,99753800000000.0,,,,,
