oid,aircraft_registration,icao,engine_count,jp_reference,engine_full_name,engine_name
1,CFFIF,AEST,2,2 LY IO-540-K1J5,NULL,NULL
2,CGLVG,AEST,2,2 LY IO-540-K1J5,NULL,NULL
3,CGMGZ,AEST,2,2 LY IO-540-K1J5,NULL,NULL
4,CGOSX,AEST,2,2 LY IO-540-K1J5,NULL,NULL
5,CGRIK,AEST,2,2 LY IO-540-K1J5,NULL,NULL
6,CGRSQ,AEST,2,2 LY IO-540-K1J5,NULL,NULL
7,CGUHK,AEST,2,2 LY IO-540-K1J5,NULL,NULL
8,CGUSZ,AEST,2,2 LY IO-540-K1J5,NULL,NULL
9,CGUTV,AEST,2,2 LY IO-540-K1J5,NULL,NULL
10,N222AY,AEST,2,2 LY IO-540-K1J5,NULL,NULL
11,N8051J,AEST,2,2 LY IO-540-K1F5,NULL,NULL
12,N8234J,AEST,2,2 LY IO-540-K1J5,NULL,NULL
13,N158GA,AEST,2,2 LY IO-540-K1F5,NULL,NULL
14,N8090J,AEST,2,2 LY IO-540-K1J5,NULL,NULL
15,N8229J,AEST,2,2 LY IO-540-K1J5,NULL,NULL
16,N6070D,AEST,2,2 LY IO-540-K1F5,NULL,NULL
17,N77BR,AEST,2,2 LY IO-540-K1F5,NULL,NULL
18,N3643D,AEST,2,2 LY IO-540-K1J5,NULL,NULL
19,N3645T,AEST,2,2 LY IO-540-K1J5,NULL,NULL
20,N6069T,AEST,2,2 LY IO-540-K1J5,NULL,NULL
21,N6076L,AEST,2,2 LY IO-540-K1J5,NULL,NULL
22,N6078E/CNL,AEST,2,2 LY IO-540-K1J5,NULL,NULL
23,N6892R,AEST,2,2 LY IO-540-K1J5,NULL,NULL
24,N6896B,AEST,2,2 LY IO-540-K1J5,NULL,NULL
25,N3645M,AEST,2,2 LY IO-540-K1J5,NULL,NULL
26,CFNAO,AEST,2,2 LY IO-540-K1J5,NULL,NULL
27,VHHMV,AEST,2,2 LY IO-540-K1J5,NULL,NULL
28,VHAVS,AEST,2,2 LY IO-540-K1F5,NULL,NULL
29,ZKMVY,AEST,2,2 LY IO-540-K1J5,NULL,NULL
30,CGZJR,AEST,2,2 LY IO-540-K1J5,NULL,NULL
31,VHLJT,AEST,2,2 LY IO-540-K1J5,NULL,NULL
32,N600VF,AEST,2,2 LY IO-540-K1J5,NULL,NULL
33,N8248J/CNL,AEST,2,2 LY IO-540-S1A5,NULL,NULL
34,VHIGN,AEST,2,2 LY IO-540-S1A5,NULL,NULL
35,VHNOA/CNL,AEST,2,2 LY IO-540-S1A5,NULL,NULL
36,N700YM,AEST,2,2 LY IO-540-S1A5,NULL,NULL
37,HK2447,AEST,2,2 LY IO-540-S1A5,NULL,NULL
38,VHWJW/CNL,AEST,2,2 LY IO-540-S1A5,NULL,NULL
39,N161GA,AEST,2,2 LY IO-540-S1A5,NULL,NULL
40,VHNOU/CNL,AEST,2,2 LY IO-540-S1A5,NULL,NULL
41,OYPYY,AEST,2,2 LY IO-540-S1A5,NULL,NULL
42,N6072V,AEST,2,2 LY IO-540-S1A5,NULL,NULL
43,N3638T/CNL,AEST,2,2 LY IO-540-S1A5,NULL,NULL
44,OEFEP,AEST,2,2 LY IO-540-S1A5,NULL,NULL
45,ECHRJ,AEST,2,2 LY IO-540-AA1A5,NULL,NULL
46,N409AJ,AEST,2,2 LY IO-540-G1B5,NULL,NULL
47,CGNAE/CNL,AEST,2,2 LY IO-540-G1B5,NULL,NULL
48,N109MW,AEST,2,2 LY IO-540-G1B5,NULL,NULL
49,N7509S,AEST,2,2 LY IO-540-G1B5,NULL,NULL
50,N79CM,AEST,2,2 LY IO-540-G1B5,NULL,NULL
51,CGBBP,AEST,2,2 LY IO-540-G1B5,NULL,NULL
