oid,engine_name,engine_type,max_shp_per_engine,shp_correction_factor,number_of_engines,gi1_time_min,gi2_time_min,to_time_min,ap_time_min,gi1_ff_per_engine_kg_s,gi2_ff_per_engine_kg_s,to_ff_per_engine_kg_s,ap_ff_per_engine_kg_s,gi1_einox_g_kg,gi2_einox_g_kg,to_einox_g_kg,ap_einox_g_kg,gi1_eihc_g_kg,gi2_eihc_g_kg,to_eihc_g_kg,ap_eihc_g_kg,gi1_eico_g_kg,gi2_eico_g_kg,to_eico_g_kg,ap_eico_g_kg,gi1_eipm_g_kg,gi2_eipm_g_kg,to_eipm_g_kg,ap_eipm_g_kg
1,DDA250-C20R/1,TURBOSHAFT,450,1.65,2,4,1,3,5.5,0.0111,0.0094,0.032,0.024,1.498,1.237,5.887,3.914,91.965,132.269,6.804,14.794,122.94,178.605,8.463,18.801,0.113006532,0.1109001,0.182746992,0.144661872
2,PW206C,TURBOSHAFT,550,1.64,2,4,1,3,5.5,0.0123,0.0104,0.0362,0.0256,1.679,1.387,6.597,4.386,74.045,106.494,5.478,11.911,98.391,142.941,6.773,15.047,0.114639492,0.1120713,0.198284592,0.152961072
3,PW207C,TURBOSHAFT,650,1.38,2,4,1,3,5.5,0.0134,0.0116,0.0408,0.0289,1.846,1.525,7.253,4.822,61.82,88.913,4.574,9.945,81.738,118.748,5.627,12.5,0.116267748,0.1132401,0.213238128,0.161121648
4,ARRIEL1K1,TURBOSHAFT,738,1.22,2,4,1,3,5.5,0.0142,0.0122,0.0446,0.0304,1.984,1.639,7.795,5.182,53.898,77.518,3.988,8.67,70.993,103.138,4.887,10.857,0.117696722,0.114266659,0.225914102,0.168188285
5,ARRIUS 2K,TURBOSHAFT,670,1.34,2,4,1,3,5.5,0.0136,0.0118,0.0416,0.0292,1.878,1.551,7.379,4.906,59.83,86.05,4.426,9.625,79.034,114.82,5.441,12.087,0.116592835,0.113473572,0.216158748,0.162737128
6,DDA250-C20B,TURBOSHAFT,420,1.65,2,4,1,3,5.5,0.0107,0.0091,0.0308,0.0234,1.44,1.19,5.661,3.763,99.08,142.502,7.33,15.939,132.724,192.82,9.137,20.298,0.112515727,0.110548272,0.17797182,0.14214508
7,DDA250-C20R,TURBOSHAFT,450,1.65,2,4,1,3,5.5,0.0111,0.0094,0.032,0.024,1.498,1.237,5.887,3.914,91.965,132.269,6.804,14.794,122.94,178.605,8.463,18.801,0.113006532,0.1109001,0.182746992,0.144661872
8,PT6B-37,TURBOSHAFT,900,1.0,1,4,1,3,5.5,0.0225,0.0157,0.0569,0.0361,3.422,2.22,9.283,6.465,19.097,43.499,2.86,5.693,24.443,56.957,3.473,7.046,0.1366716,0.120317808,0.261460848,0.195341952
9,PT6C-67C,TURBOSHAFT,1100,1.65,2,4,1,3,5.5,0.0196,0.0185,0.0591,0.0414,2.28,2.055,8.893,5.896,41.368,50.371,3.104,6.783,54.091,66.224,3.777,8.436,0.121009152,0.11847,0.252100992,0.182949888
10,ARTOUSTE IIC5,TURBOSHAFT,402,1.0,1,4,1,3,5.5,0.0154,0.0105,0.0319,0.0246,2.166,1.405,5.875,4.091,45.607,103.881,6.83,13.595,59.795,139.337,8.497,17.237,0.11969486,0.11222104,0.182491206,0.147718089
11,ARTOUSTE IIC6,TURBOSHAFT,402,1.0,1,4,1,3,5.5,0.0154,0.0105,0.0319,0.0246,2.166,1.405,5.875,4.091,45.607,103.881,6.83,13.595,59.795,139.337,8.497,17.237,0.11969486,0.11222104,0.182491206,0.147718089
