oid,engine_name,engine_full_name,engine_type,max_shp_per_engine,source
1,ALVIS LEONIDES,ALVIS LEONIDES,PISTON,550,FOCA 2015 heli EI table (legacy)
2,ARRANO 1A,ARRANO 1A,TURBOSHAFT,1300,Safran Arrano 1A — Airbus H160 (EASA TCDS E.095)
3,ARRIEL 1A1,ARRIEL 1A1,TURBOSHAFT,641,FOCA 2015 heli EI table (legacy)
4,ARRIEL 1A2,ARRIEL 1A2,TURBOSHAFT,641,FOCA 2015 heli EI table (legacy)
5,ARRIEL 1B,ARRIEL 1B,TURBOSHAFT,641,FOCA 2015 heli EI table (legacy)
6,ARRIEL 1C,ARRIEL 1C,TURBOSHAFT,660,FOCA 2015 heli EI table (legacy)
7,ARRIEL 1C1,ARRIEL 1C1,TURBOSHAFT,700,FOCA 2015 heli EI table (legacy)
8,ARRIEL 1D1,ARRIEL 1D1,TURBOSHAFT,732,FOCA 2015 heli EI table (legacy)
9,ARRIEL 1E2,ARRIEL 1E2,TURBOSHAFT,738,FOCA 2015 heli EI table (legacy)
10,ARRIEL 2B,ARRIEL 2B,TURBOSHAFT,848,FOCA 2015 heli EI table (legacy)
11,ARRIEL 2B1,ARRIEL 2B1,TURBOSHAFT,848,FOCA 2015 heli EI table (legacy)
12,ARRIEL 2C,ARRIEL 2C,TURBOSHAFT,839,FOCA 2015 heli EI table (legacy)
13,ARRIEL 2C1,ARRIEL 2C1,TURBOSHAFT,839,FOCA 2015 heli EI table (legacy)
14,ARRIEL 2C2,ARRIEL 2C2,TURBOSHAFT,944,FOCA 2015 heli EI table (legacy)
15,ARRIEL 2D,ARRIEL 2D,TURBOSHAFT,952,Safran Arriel 2D — AS350B3 ASTAR (FOCA Table 9 H113)
16,ARRIEL 2S1,ARRIEL 2S1,TURBOSHAFT,856,FOCA 2015 heli EI table (legacy)
17,ARRIEL 2S2,ARRIEL 2S2,TURBOSHAFT,856,Safran Arriel 2S2 — S-76 C++ (FOCA Table 9 H115)
18,ARRIEL1K1,ARRIEL1K1,TURBOSHAFT,738,FOCA 2015 heli EI table (legacy)
19,ARRIUS 1A,ARRIUS 1A,TURBOSHAFT,480,FOCA 2015 heli EI table (legacy)
20,ARRIUS 2B1,ARRIUS 2B1,TURBOSHAFT,633,FOCA 2015 heli EI table (legacy)
21,ARRIUS 2B2,ARRIUS 2B2,TURBOSHAFT,633,FOCA 2015 heli EI table (legacy)
22,ARRIUS 2F,ARRIUS 2F,TURBOSHAFT,432,FOCA 2015 heli EI table (legacy)
23,ARRIUS 2K,ARRIUS 2K,TURBOSHAFT,670,FOCA 2015 heli EI table (legacy)
24,ARRIUS 2R,ARRIUS 2R,TURBOSHAFT,505,"Safran Arrius 2R — Bell 505 Jet Ranger X (Bell brochure, EASA TCDS R.156)"
25,ARTOUSTE IIC5,ARTOUSTE IIC5,TURBOSHAFT,402,FOCA 2015 heli EI table (legacy)
26,ARTOUSTE IIC6,ARTOUSTE IIC6,TURBOSHAFT,402,FOCA 2015 heli EI table (legacy)
27,ARTOUSTE IIIB,ARTOUSTE IIIB,TURBOSHAFT,563,FOCA 2015 heli EI table (legacy)
28,ASTAZOU IIIA,ASTAZOU IIIA,TURBOSHAFT,644,FOCA 2015 heli EI table (legacy)
29,ASTAZOU IIIN2,ASTAZOU IIIN2,TURBOSHAFT,644,FOCA 2015 heli EI table (legacy)
30,ASTAZOU XIVB,ASTAZOU XIVB,TURBOSHAFT,590,FOCA 2015 heli EI table (legacy)
31,ASTAZOU XIVG,ASTAZOU XIVG,TURBOSHAFT,590,FOCA 2015 heli EI table (legacy)
32,ASTAZOU XIVH,ASTAZOU XIVH,TURBOSHAFT,590,FOCA 2015 heli EI table (legacy)
33,ASTAZOU XVIIIA,ASTAZOU XVIIIA,TURBOSHAFT,1050,Turbomeca Astazou XVIIIA — SA360 Dauphin (Safran datasheet)
34,CT7-2E1,CT7-2E1,TURBOSHAFT,2000,GE CT7-2E1 — AW189/AW149 (FAA TCDS E8NE)
35,D-136,D-136,TURBOSHAFT,11400,Lotarev / Ivchenko-Progress D-136 — Mi-26 (FOCA Table 9 H701)
36,DDA250-C18,DDA250-C18,TURBOSHAFT,317,FOCA 2015 heli EI table (legacy)
37,DDA250-C20,DDA250-C20,TURBOSHAFT,400,FOCA 2015 heli EI table (legacy)
38,DDA250-C20B,DDA250-C20B,TURBOSHAFT,420,FOCA 2015 heli EI table (legacy)
39,DDA250-C20F,DDA250-C20F,TURBOSHAFT,420,FOCA 2015 heli EI table (legacy)
40,DDA250-C20J,DDA250-C20J,TURBOSHAFT,420,FOCA 2015 heli EI table (legacy)
41,DDA250-C20R,DDA250-C20R,TURBOSHAFT,450,FOCA 2015 heli EI table (legacy)
42,DDA250-C20R/1,DDA250-C20R/1,TURBOSHAFT,450,FOCA 2015 heli EI table (legacy)
43,DDA250-C20R/4,DDA250-C20R/4,TURBOSHAFT,450,FOCA 2015 heli EI table (legacy)
44,DDA250-C20W,DDA250-C20W,TURBOSHAFT,420,FOCA 2015 heli EI table (legacy)
45,DDA250-C30,DDA250-C30,TURBOSHAFT,650,FOCA 2015 heli EI table (legacy)
46,DDA250-C30P,DDA250-C30P,TURBOSHAFT,650,FOCA 2015 heli EI table (legacy)
47,DDA250-C30S,DDA250-C30S,TURBOSHAFT,650,FOCA 2015 heli EI table (legacy)
48,DDA250-C40B,DDA250-C40B,TURBOSHAFT,715,FOCA 2015 heli EI table (legacy)
49,DDA250-C47B,DDA250-C47B,TURBOSHAFT,650,FOCA 2015 heli EI table (legacy)
50,DDA250-C47M,DDA250-C47M,TURBOSHAFT,650,FOCA 2015 heli EI table (legacy)
51,GE CT7-8A,GE CT7-8A,TURBOSHAFT,2740,FOCA 2015 heli EI table (legacy)
52,GTD-350,GTD-350,TURBOSHAFT,400,Klimov (Isotov) GTD-350 — Mi-2 (FOCA Table 9 H401)
53,HIO-360,HIO-360,PISTON,190,FOCA 2015 heli EI table (legacy)
54,HIO-540,HIO-540,PISTON,245,FOCA 2015 heli EI table (legacy)
55,HO-360,HO-360,PISTON,180,FOCA 2015 heli EI table (legacy)
56,LTS101-750B.1,LTS101-750B.1,TURBOSHAFT,727,FOCA 2015 heli EI table (legacy)
57,LTS101-750C.1,LTS101-750C.1,TURBOSHAFT,735,FOCA 2015 heli EI table (legacy)
58,LYC TVO-435-B1A,LYC TVO-435-B1A,PISTON,270,FOCA 2015 heli EI table (legacy)
59,LYC VO-435-A1D,LYC VO-435-A1D,PISTON,220,FOCA 2015 heli EI table (legacy)
60,MAKILA 1A1,MAKILA 1A1,TURBOSHAFT,1820,FOCA 2015 heli EI table (legacy)
61,MAKILA 1A2,MAKILA 1A2,TURBOSHAFT,1845,Safran Makila 1A2 — AS332L2 Super Puma Mk2
62,MAKILA 2A1,MAKILA 2A1,TURBOSHAFT,2100,Safran Makila 2A1 — EC725/H225 Caracal
63,O-320-B2C,O-320-B2C,PISTON,180,"Lycoming O-320-B2C — Robinson R22 Beta (FAA TCDS H10WE, FOCA Table 9 HF41)"
64,O-360-J2A,O-360-J2A,PISTON,160,Lycoming O-360-J2A — Guimbal Cabri G2 (manufacturer datasheet)
65,PT6B-36A,PT6B-36A,TURBOSHAFT,981,FOCA 2015 heli EI table (legacy)
66,PT6B-37,PT6B-37,TURBOSHAFT,900,FOCA 2015 heli EI table (legacy)
67,PT6C-67C,PT6C-67C,TURBOSHAFT,1100,FOCA 2015 heli EI table (legacy)
68,PT6C-67E,PT6C-67E,TURBOSHAFT,1800,P&W PT6C-67E — Airbus H175 (EASA TCDS R.510)
69,PT6T-3,PT6T-3,TURBOSHAFT,1800,FOCA 2015 heli EI table (legacy)
70,PW206A,PW206A,TURBOSHAFT,621,FOCA 2015 heli EI table (legacy)
71,PW206C,PW206C,TURBOSHAFT,550,FOCA 2015 heli EI table (legacy)
72,PW207C,PW207C,TURBOSHAFT,650,FOCA 2015 heli EI table (legacy)
73,PW207D,PW207D,TURBOSHAFT,572,P&W PW207D — Bell 427 (FOCA Table 9 H031)
74,PW207D1,PW207D1,TURBOSHAFT,625,"P&W PW207D1 — Bell 429 GlobalRanger (SKYbrary, Bell brochure)"
75,PW207E,PW207E,TURBOSHAFT,640,P&W PW207E — MD Explorer 900 (FOCA Table 9 H032)
76,PW210A,PW210A,TURBOSHAFT,1100,"P&W PW210A FADEC — AW169 (Leonardo brochure, Vertical Magazine)"
77,ROTORWAY RI-162,ROTORWAY RI-162,PISTON,150,FOCA 2015 heli EI table (legacy)
78,ROTORWAY RW 133,ROTORWAY RW 133,PISTON,133,FOCA 2015 heli EI table (legacy)
79,T 64-GE-7,T 64-GE-7,TURBOSHAFT,3925,FOCA 2015 heli EI table (legacy)
80,T53 17A-1,T53 17A-1,TURBOSHAFT,1500,FOCA 2015 heli EI table (legacy)
81,T53 L13,T53 L13,TURBOSHAFT,1400,FOCA 2015 heli EI table (legacy)
82,T58-GE-10,T58-GE-10,TURBOSHAFT,1500,GE T58-GE-10 — Sikorsky S-61 Sea King (GE Aviation)
83,T700-GE-700,T700-GE-700,TURBOSHAFT,1622,FOCA 2015 heli EI table (legacy)
84,TV2-117,TV2-117,TURBOSHAFT,1500,FOCA 2015 heli EI table (legacy)
85,TV3-117VMA,TV3-117VMA,TURBOSHAFT,2200,FOCA 2015 heli EI table (legacy)
86,VO-540-1B,VO-540-1B,PISTON,320,FOCA 2015 heli EI table (legacy)
