oid,vehicle_type,class,legislation,a1,b1,c1,d1,e1,f1,g1,h1,corr1,a2,b2,c2,d2,e2,f2,g2,h2,corr2
1,PC,Gasoline <1.4l,Pre-ECE,0.0,0.0,0.0,30.34,-0.693,0,0,0,0.98,1.274,0.0,0.0,0.0,0.0,0,0,0,NULL
2,PC,Gasoline <1.4l,ECE 15/00-01,0.0,0.0,0.0,24.99,-0.704,0,0,0,0.901,0.0,0.0,0.0,4.85,-0.318,0,0,0,0.095
3,PC,Gasoline <1.4l,ECE 15/02,0.0,0.0,0.0,25.75,-0.714,0,0,0,0.895,1.95,-0.019,9e-05,0.0,0.0,0,0,0,NULL
4,PC,Gasoline <1.4l,ECE 15/03,0.0,0.0,0.0,25.75,-0.714,0,0,0,0.895,1.95,-0.019,9e-05,0.0,0.0,0,0,0,0.198
5,PC,Gasoline <1.4l,ECE 15/04,0.0,0.0,0.0,19.079,-0.693,0,0,0,0.838,2.608,-0.037,0.000179,0.0,0.0,0,0,0,0.341
6,PC,Gasoline <1.4l,Improved Conv,2.189,-0.034,0.000201,0.0,0.0,0,0,0,0.766,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
7,PC,Gasoline <1.4l,Open Loop,2.185,-0.0423,0.000256,0.0,0.0,0,0,0,0.636,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
8,PC,Gasoline <1.4l,EURO I,0.628,-0.01377,8.52e-05,0.0,0.0,0,0,0,0.207,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
9,PC,Gasoline <1.4l,EURO II,0.1319,-0.0029,1.7892e-05,0.0,0.0,0,0,0,0.207,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
10,PC,Gasoline <1.4l,EURO III,0.0942,-0.0021,1.278e-05,0.0,0.0,0,0,0,0.207,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
11,PC,Gasoline <1.4l,EURO IV,0.0188,-0.0004131,2.556e-06,0.0,0.0,0,0,0,0.207,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
12,PC,Gasoline 1.4-2.0l,Pre-ECE,0.0,0.0,0.0,30.34,-0.693,0,0,0,0.98,1.274,0.0,0.0,0.0,0.0,0,0,0,NULL
13,PC,Gasoline 1.4-2.0l,ECE 15/00-01,0.0,0.0,0.0,24.99,-0.704,0,0,0,0.901,0.0,0.0,0.0,4.85,-0.318,0,0,0,NULL
14,PC,Gasoline 1.4-2.0l,ECE 15/02,0.0,0.0,0.0,25.75,-0.714,0,0,0,0.895,1.95,-0.019,9e-05,0.0,0.0,0,0,0,NULL
15,PC,Gasoline 1.4-2.0l,ECE 15/03,0.0,0.0,0.0,25.75,-0.714,0,0,0,0.895,1.95,-0.019,9e-05,0.0,0.0,0,0,0,NULL
16,PC,Gasoline 1.4-2.0l,ECE 15/04,0.0,0.0,0.0,19.079,-0.693,0,0,0,0.838,2.608,-0.037,0.000179,0.0,0.0,0,0,0,NULL
17,PC,Gasoline 1.4-2.0l,Improved Conv,1.999,-0.034,0.000214,0.0,0.0,0,0,0,0.447,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
18,PC,Gasoline 1.4-2.0l,Open Loop,0.808,-0.016,9.9e-05,0.0,0.0,0,0,0,0.49,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
19,PC,Gasoline 1.4-2.0l,EURO I,0.4494,-0.00888,5.21e-05,0.0,0.0,0,0,0,0.197,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
20,PC,Gasoline 1.4-2.0l,EURO II,0.0944,-0.0019,1.0941e-05,0.0,0.0,0,0,0,0.197,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
21,PC,Gasoline 1.4-2.0l,EURO III,0.0629,-0.0012,7.294e-06,0.0,0.0,0,0,0,0.197,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
22,PC,Gasoline 1.4-2.0l,EURO IV,0.0135,-0.0002664,1.563e-06,0.0,0.0,0,0,0,0.197,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
23,PC,Gasoline >2.0l,Pre-ECE,0.0,0.0,0.0,30.34,-0.693,0,0,0,0.98,1.274,0.0,0.0,0.0,0.0,0,0,0,NULL
24,PC,Gasoline >2.0l,ECE 15/00-01,0.0,0.0,0.0,24.99,-0.704,0,0,0,0,0.0,0.0,0.0,4.85,-0.318,0,0,0,NULL
25,PC,Gasoline >2.0l,ECE 15/02,0.0,0.0,0.0,25.75,-0.714,0,0,0,NULL,1.95,-0.019,9e-05,0.0,0.0,0,0,0,NULL
26,PC,Gasoline >2.0l,ECE 15/03,0.0,0.0,0.0,25.75,-0.714,0,0,0,0,1.95,-0.019,9e-05,0.0,0.0,0,0,0,NULL
27,PC,Gasoline >2.0l,ECE 15/04,0.0,0.0,0.0,19.079,-0.693,0,0,0,0,2.608,-0.037,0.000179,0.0,0.0,0,0,0,NULL
28,PC,Gasoline >2.0l,Improved Conv,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
29,PC,Gasoline >2.0l,Open Loop,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
30,PC,Gasoline >2.0l,EURO I,0.5086,-0.00723,3.3e-05,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
31,PC,Gasoline >2.0l,EURO II,0.1221,-0.0017,7.92e-06,0.0,0.0,0,0,0,NULL,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
32,PC,Gasoline >2.0l,EURO III,0.0814,-0.0012,5.28e-06,0.0,0.0,0,0,0,NULL,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
33,PC,Gasoline >2.0l,EURO IV,0.0305,-0.0004338,1.98e-06,0.0,0.0,0,0,0,NULL,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
34,PC,Diesel <2.0l,Conventional,0.0,0.0,0.0,4.61,-0.937,0,0,0,0.794,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
35,PC,Diesel <2.0l,EURO I,0.1978,-0.003925,2.24e-05,0.0,0.0,0,0,0,0.342,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
